case,problem_class,instance,instance_sha256,requested,engine,engine_rule,rep,status,objective,iterations,nodes,classification_seconds,selection_seconds,setup_seconds,presolve_seconds,solve_seconds,postprocess_seconds,total_seconds,wall_seconds,setup_share,independently_verified,git_commit,machine,timestamp_utc,solver_options
lp auto,LP,afiro.mps,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,,simplex-dual,default:dual-simplex,1,optimal,-464.75314285714285,13,0,0.000002600,0.000020400,0.000023000,0.000059700,0.000352200,0.000017700,0.000508000,0.022846,0.045276,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
lp auto,LP,afiro.mps,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,,simplex-dual,default:dual-simplex,2,optimal,-464.75314285714285,13,0,0.000002500,0.000019300,0.000021800,0.000055300,0.000289200,0.000018000,0.000433200,0.023576,0.050323,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
lp auto,LP,afiro.mps,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,,simplex-dual,default:dual-simplex,3,optimal,-464.75314285714285,13,0,0.000002600,0.000019900,0.000022500,0.000054800,0.000317600,0.000033400,0.000483000,0.023081,0.046584,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
lp simplex,LP,afiro.mps,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,algorithm=simplex,simplex-primal,requested,1,optimal,-464.75314285714285,15,0,0.000003000,0.000009900,0.000012900,0.000070700,0.000321900,0.000018700,0.000479800,0.020603,0.026886,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
lp simplex,LP,afiro.mps,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,algorithm=simplex,simplex-primal,requested,2,optimal,-464.75314285714285,15,0,0.000002500,0.000008800,0.000011300,0.000070200,0.000312900,0.000027300,0.000487200,0.025455,0.023194,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
lp simplex,LP,afiro.mps,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,algorithm=simplex,simplex-primal,requested,3,optimal,-464.75314285714285,15,0,0.000002500,0.000010400,0.000012900,0.000058000,0.000248200,0.000016800,0.000398000,0.020832,0.032412,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
lp dual-simplex,LP,afiro.mps,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,algorithm=dual-simplex,simplex-dual,requested,1,optimal,-464.75314285714285,13,0,0.000002400,0.000009200,0.000011600,0.000051200,0.000279800,0.000019700,0.000441300,0.025337,0.026286,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
lp dual-simplex,LP,afiro.mps,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,algorithm=dual-simplex,simplex-dual,requested,2,optimal,-464.75314285714285,13,0,0.000002500,0.000009200,0.000011700,0.000058600,0.000264200,0.000017400,0.000404200,0.018143,0.028946,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
lp dual-simplex,LP,afiro.mps,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,algorithm=dual-simplex,simplex-dual,requested,3,optimal,-464.75314285714285,13,0,0.000002200,0.000009600,0.000011800,0.000056700,0.000285200,0.000016500,0.000424700,0.022180,0.027784,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
lp ipm,LP,afiro.mps,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,algorithm=ipm,ipm+crossover,requested,1,optimal,-464.75314285714285,16,0,0.000002500,0.000009500,0.000012000,0.000052600,0.000508700,0.000020300,0.000660400,0.023467,0.018171,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
