instance,instance_sha256,mode,cpu_threads,parallel_spmv,tol,iteration_limit,status,objective,reference_objective,reference_source,abs_gap,rel_gap,primal_residual,dual_residual,iterations,seconds,solver_median_s,wall_median_s,wall_spread_s,repeats,git_commit,machine,card,gpu,timestamp_utc
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-1t,1,false,0.0001,,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.490867,1.510587,2.625248,0.073252,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-28t,28,true,0.0001,,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.569669,1.502556,2.684703,0.157775,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,gpu,,,0.0001,,feasible,3.0000000007930705,3.0,highs,7.931e-10,2.644e-10,4.786e-08,5.171e-20,440,0.552845,0.552845,1.747900,0.501080,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-1t,1,false,1e-06,,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.491608,1.500582,2.576197,0.062749,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-28t,28,true,1e-06,,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.451053,1.451053,2.550487,0.091694,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,gpu,,,1e-06,,feasible,3.0000000008243117,3.0,highs,8.243e-10,2.748e-10,1.176e-08,1.862e-20,440,0.547007,0.599097,1.787267,0.351924,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-1t,1,false,1e-08,,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.514827,1.510053,2.753570,0.055688,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-28t,28,true,1e-08,,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.510526,1.510526,2.684466,1.622999,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,gpu,,,1e-08,,feasible,3.000000000413749,3.0,highs,4.137e-10,1.379e-10,3.359e-09,2.257e-20,440,0.550016,0.578665,1.717585,0.065785,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-1t,1,false,1e-08,2000,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.511980,1.511980,2.656153,0.062388,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-28t,28,true,1e-08,2000,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.477447,1.477447,2.571599,0.198520,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,gpu,,,1e-08,2000,feasible,3.0000000008146324,3.0,highs,8.146e-10,2.715e-10,1.184e-08,1.045e-20,440,0.546591,0.562799,1.663584,0.412077,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-1t,1,false,0.0001,,feasible,1.999998811677631,2.0000000000012172,highs,1.188e-06,5.942e-07,9.810e-08,4.616e-06,80800,53.379065,53.237243,54.100824,1.152108,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-28t,28,true,0.0001,,feasible,1.999998811677631,2.0000000000012172,highs,1.188e-06,5.942e-07,9.810e-08,4.616e-06,80800,55.566795,55.566795,56.635863,2.649627,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,gpu,,,0.0001,,feasible,2.000001042596344,2.0000000000012172,highs,1.043e-06,5.213e-07,9.975e-08,1.046e-15,65160,6.563175,7.160503,8.161334,4.274332,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
