instance,instance_sha256,mode,cpu_threads,parallel_spmv,tol,iteration_limit,status,objective,reference_objective,reference_source,abs_gap,rel_gap,primal_residual,dual_residual,iterations,seconds,solver_median_s,wall_median_s,wall_spread_s,repeats,git_commit,machine,card,gpu,timestamp_utc
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-1t,1,false,0.0001,,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.090639,1.090639,1.474255,0.045129,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-16t,16,true,0.0001,,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.620675,1.521952,1.945741,0.310240,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,gpu,,,0.0001,,feasible,3.0000000002465512,3.0,highs,2.466e-10,8.218e-11,6.860e-09,5.735e-20,480,0.382011,0.382011,0.830584,0.101041,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-1t,1,false,1e-06,,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.088841,1.088841,1.520321,0.105772,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-16t,16,true,1e-06,,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.372105,1.609226,2.034045,0.461847,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,gpu,,,1e-06,,feasible,2.9999999999389435,3.0,highs,6.106e-11,2.035e-11,6.496e-09,1.612e-20,440,0.494805,0.409369,0.891146,0.076106,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-1t,1,false,1e-08,,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.077835,1.089177,1.504897,0.057781,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-16t,16,true,1e-08,,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.399473,1.376116,1.831740,0.084701,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,gpu,,,1e-08,,optimal,3.000000000464075,3.0,highs,4.641e-10,1.547e-10,1.400e-08,1.037e-19,480,0.422733,0.394340,0.872333,0.043593,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-1t,1,false,1e-08,2000,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.084394,1.087431,1.577028,0.164928,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-16t,16,true,1e-08,2000,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,7.735e-08,0.000e+00,480,1.426865,1.426865,2.084692,0.562197,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,gpu,,,1e-08,2000,optimal,3.0000000005869634,3.0,highs,5.870e-10,1.957e-10,1.771e-08,2.689e-20,480,0.399453,0.399453,0.875116,0.096236,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-1t,1,false,0.0001,,feasible,1.999998811677631,2.0000000000012172,highs,1.188e-06,5.942e-07,9.810e-08,4.616e-06,80800,37.960764,37.960764,38.344607,0.237166,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-16t,16,true,0.0001,,feasible,1.999998811677631,2.0000000000012172,highs,1.188e-06,5.942e-07,9.810e-08,4.616e-06,80800,74.711291,85.362817,85.830594,16.782420,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,gpu,,,0.0001,,feasible,2.000001032349996,2.0000000000012172,highs,1.032e-06,5.162e-07,9.870e-08,2.212e-15,62480,5.466302,7.404682,7.756653,4.042350,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-1t,1,false,1e-06,,feasible,2.0000000851361506,2.0000000000012172,highs,8.513e-08,4.257e-08,8.140e-09,8.089e-08,101600,47.516754,47.566027,47.895255,0.126173,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-16t,16,true,1e-06,,feasible,2.0000000851361506,2.0000000000012172,highs,8.513e-08,4.257e-08,8.140e-09,8.089e-08,101600,101.554162,101.554162,101.893775,17.412368,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,gpu,,,1e-06,,feasible,2.00000001864988,2.0000000000012172,highs,1.865e-08,9.324e-09,1.820e-09,9.282e-08,121600,10.515429,11.849320,12.250285,2.249318,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-1t,1,false,1e-08,,feasible,1.9999999975461507,2.0000000000012172,highs,2.455e-09,1.228e-09,2.028e-10,3.687e-10,194240,90.565692,90.756010,91.120279,1.197783,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-16t,16,true,1e-08,,feasible,1.9999999975461507,2.0000000000012172,highs,2.455e-09,1.228e-09,2.028e-10,3.687e-10,194240,184.212826,193.741678,194.096287,40.233682,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,gpu,,,1e-08,,feasible,1.9999999998182212,2.0000000000012172,highs,1.830e-10,9.150e-11,1.502e-11,2.038e-11,215920,18.045897,15.171753,15.812082,5.445201,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-1t,1,false,1e-08,2000,iteration_limit,0.0,2.0000000000012172,highs,2.000e+00,1.000e+00,2.212e-02,0.000e+00,2000,1.003801,1.003801,1.341848,0.102726,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-16t,16,true,1e-08,2000,iteration_limit,0.0,2.0000000000012172,highs,2.000e+00,1.000e+00,2.212e-02,0.000e+00,2000,1.621168,1.621168,1.966050,0.208349,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,gpu,,,1e-08,2000,iteration_limit,0.0,2.0000000000012172,highs,2.000e+00,1.000e+00,2.211e-02,1.155e-17,2000,0.371867,0.463225,0.791387,0.197338,3,58a8374,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:52:51+00:00
