instance,instance_sha256,mode,tol,iteration_limit,status,objective,iterations,seconds,wall_median_s,wall_spread_s,repeats,git_commit,machine,card,gpu,timestamp_utc
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-16t,0.0001,,feasible,3.0000000022999487,480,1.103508,1.445666,0.129435,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,gpu,0.0001,,feasible,3.0000000012276438,440,0.438591,0.853233,0.022590,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-16t,1e-06,,feasible,3.0000000022999487,480,1.130150,1.417274,0.266043,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,gpu,1e-06,,feasible,3.000000000165927,480,0.369944,0.825440,0.117898,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-16t,1e-08,,feasible,3.0000000022999487,480,1.037373,1.502796,0.054597,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,gpu,1e-08,,feasible,3.0000000005021317,440,0.379603,0.834822,0.111375,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,cpu-16t,1e-08,2000,feasible,3.0000000022999487,480,1.034538,1.445967,0.082200,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,gpu,1e-08,2000,feasible,3.0000000006988623,440,0.370927,0.847714,0.072507,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-16t,0.0001,,feasible,1.999998811677631,80800,33.762208,34.172888,0.326525,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,gpu,0.0001,,feasible,2.0000010287786005,58000,4.610044,5.553975,3.634450,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-16t,1e-06,,feasible,2.0000000851361506,101600,42.906782,43.094890,0.681074,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,gpu,1e-06,,feasible,1.9999995978437894,91320,7.212001,10.508593,4.449151,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-16t,1e-08,,feasible,1.9999999975461507,194240,80.629251,79.984344,1.851811,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,gpu,1e-08,,feasible,1.9999996940528124,129000,10.044387,10.431059,3.828625,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-16t,1e-08,2000,iteration_limit,0.0,2000,0.846638,1.165236,0.048787,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,gpu,1e-08,2000,iteration_limit,0.0,2000,0.315572,0.688317,0.193310,3,fdc89c5,Linux-x86_64,l4,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:59:20+00:00
