instance,sha256,rows,cols,nnz,backend,status,rounds,tightened,seconds,repeats,agrees_with_cpu,git_commit,machine,gpu,timestamp_utc
prop-knapsack-1000,dc330f61457b5a6720a559e606ed09bc19423537fce38400e158377ac38885fc,1000,1000,5000,cpu,propagated,2,797,0.000078,5,,43254f1,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T21:13:16+00:00
prop-knapsack-1000,dc330f61457b5a6720a559e606ed09bc19423537fce38400e158377ac38885fc,1000,1000,5000,gpu,propagated,2,797,0.111028,5,yes,43254f1,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T21:13:16+00:00
prop-knapsack-10000,4dea63733c8686b35bc2f51f5f6207aa55168711275379777bc5a86d02b00332,10000,10000,50000,cpu,propagated,2,7708,0.000796,5,,43254f1,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T21:13:16+00:00
prop-knapsack-10000,4dea63733c8686b35bc2f51f5f6207aa55168711275379777bc5a86d02b00332,10000,10000,50000,gpu,propagated,2,7708,0.118004,5,yes,43254f1,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T21:13:16+00:00
prop-knapsack-100000,935abba73ff7841bf264a2cef08ff5db575f8d95f5d47f2c12c0388c27f2dcd0,100000,100000,500000,cpu,propagated,2,77630,0.011387,5,,43254f1,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T21:13:16+00:00
prop-knapsack-100000,935abba73ff7841bf264a2cef08ff5db575f8d95f5d47f2c12c0388c27f2dcd0,100000,100000,500000,gpu,propagated,2,77630,0.118576,5,yes,43254f1,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T21:13:16+00:00
prop-knapsack-300000,1430b9fb4016dd7887e1788c804c006cd3d36ded05495279fa4e11cdced025e4,300000,300000,1500000,cpu,propagated,2,233257,0.042926,5,,43254f1,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T21:13:16+00:00
prop-knapsack-300000,1430b9fb4016dd7887e1788c804c006cd3d36ded05495279fa4e11cdced025e4,300000,300000,1500000,gpu,propagated,2,233257,0.145380,5,yes,43254f1,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T21:13:16+00:00
prop-knapsack-1000000,bef40fec0278a12e7d5dd1f676b788c0a6ad359302d5e6effa07deee7242f596,1000000,1000000,5000000,cpu,propagated,2,777545,0.286252,5,,43254f1,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T21:13:16+00:00
prop-knapsack-1000000,bef40fec0278a12e7d5dd1f676b788c0a6ad359302d5e6effa07deee7242f596,1000000,1000000,5000000,gpu,propagated,2,777545,0.345897,5,yes,43254f1,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T21:13:16+00:00
