instance,sha256,rows,cols,nnz,backend,status,rounds,tightened,seconds,repeats,agrees_with_cpu,git_commit,machine,gpu,timestamp_utc,context_seconds,seconds_without_context
prop-knapsack-1000,dc330f61457b5a6720a559e606ed09bc19423537fce38400e158377ac38885fc,1000,1000,5000,cpu,propagated,2,797,0.000078,5,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:37:06+00:00,,
prop-knapsack-1000,dc330f61457b5a6720a559e606ed09bc19423537fce38400e158377ac38885fc,1000,1000,5000,gpu,propagated,2,797,0.110972,5,yes,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:37:06+00:00,0.110305,0.000669
prop-knapsack-10000,4dea63733c8686b35bc2f51f5f6207aa55168711275379777bc5a86d02b00332,10000,10000,50000,cpu,propagated,2,7708,0.000802,5,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:37:06+00:00,,
prop-knapsack-10000,4dea63733c8686b35bc2f51f5f6207aa55168711275379777bc5a86d02b00332,10000,10000,50000,gpu,propagated,2,7708,0.114150,5,yes,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:37:06+00:00,0.112876,0.001274
prop-knapsack-100000,935abba73ff7841bf264a2cef08ff5db575f8d95f5d47f2c12c0388c27f2dcd0,100000,100000,500000,cpu,propagated,2,77630,0.011564,5,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:37:06+00:00,,
prop-knapsack-100000,935abba73ff7841bf264a2cef08ff5db575f8d95f5d47f2c12c0388c27f2dcd0,100000,100000,500000,gpu,propagated,2,77630,0.118193,5,yes,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:37:06+00:00,0.111768,0.006318
prop-knapsack-300000,1430b9fb4016dd7887e1788c804c006cd3d36ded05495279fa4e11cdced025e4,300000,300000,1500000,cpu,propagated,2,233257,0.042749,5,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:37:06+00:00,,
prop-knapsack-300000,1430b9fb4016dd7887e1788c804c006cd3d36ded05495279fa4e11cdced025e4,300000,300000,1500000,gpu,propagated,2,233257,0.162775,5,yes,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:37:06+00:00,0.140816,0.021959
prop-knapsack-1000000,bef40fec0278a12e7d5dd1f676b788c0a6ad359302d5e6effa07deee7242f596,1000000,1000000,5000000,cpu,propagated,2,777545,0.287839,5,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:37:06+00:00,,
prop-knapsack-1000000,bef40fec0278a12e7d5dd1f676b788c0a6ad359302d5e6effa07deee7242f596,1000000,1000000,5000000,gpu,propagated,2,777545,0.325613,5,yes,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:37:06+00:00,0.221346,0.108063
