instance,sha256,engine,status,first_seconds,found_at_10s,found_at_limit,limit_seconds,our_objective,reference_objective,abs_gap,rel_gap,points,verified,wall_seconds,work,moves,weight_updates,restarts,rejected,git_commit,machine,gpu,timestamp_utc
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,cpu,found,0.000,1,1,60.0,163.0,1.0,162,162,6,1,60.001,5060440032,4717,24389486,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:17:31+00:00
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,gpu,found,0.284,1,1,60.0,47.0,1.0,46,46,3,1,60.003,36795243803,20766836,165100312,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:18:31+00:00
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,cpu,found,0.002,1,1,60.0,106.0,11.0,95,8.63636,1,1,60.000,8512387590,3369009,6633162,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:19:31+00:00
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,gpu,found,0.277,1,1,60.0,42.0,11.0,31,2.81818,1,1,60.024,203842296820,11330711,21795061,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:20:31+00:00
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,cpu,none,,0,0,60.0,,764771.99999978,,,0,1,60.001,4364768088,60840,12053556,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:21:31+00:00
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,gpu,none,,0,0,60.0,,764771.99999978,,,0,1,60.004,101989527239,1950224,32660348,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:22:31+00:00
mas76,91f624659e181538020e0c627910f02ffa6b355d6df708ef324e697a69485a74,cpu,found,0.000,1,1,60.0,43892.090749999996,40005.05398999999,3887.04,0.0971636,4,1,60.000,5835159153,14813,16529957,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:23:31+00:00
mas76,91f624659e181538020e0c627910f02ffa6b355d6df708ef324e697a69485a74,gpu,found,0.383,1,1,60.0,41651.2493146,40005.05398999999,1646.2,0.0411497,9,1,60.002,133060692250,96893,321480975,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:24:31+00:00
neos-3754480-nidda,63f322dd9be49acf31f7579d8f04e3bb578bdd7ca7d3525683384190c9a8bf7f,cpu,found,0.000,1,1,60.0,23821.914413349994,12941.73838561778,10880.2,0.840704,1,1,60.000,7156101298,2008137,2412050,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:25:31+00:00
neos-3754480-nidda,63f322dd9be49acf31f7579d8f04e3bb578bdd7ca7d3525683384190c9a8bf7f,gpu,found,0.368,1,1,60.0,18908.139355262447,12941.73838561778,5966.4,0.46102,2,1,60.087,230446117480,9414653,563087,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:26:31+00:00
glass4,0d6e6ceaf921e5d5489b9926fdfed2ce0aa25fd9acfa9deb6794669b56b59591,cpu,found,1.513,1,1,60.0,2080495324.892564,1200012599.972384,8.80483e+08,0.733728,2,1,60.000,6480740071,17958,32264573,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:27:32+00:00
glass4,0d6e6ceaf921e5d5489b9926fdfed2ce0aa25fd9acfa9deb6794669b56b59591,gpu,found,4.825,1,1,60.0,1900013900.0,1200012599.972384,7.00001e+08,0.583328,6,1,60.019,31941834531,123534,50062590,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:28:32+00:00
mad,0109c5aefd23dbe6d46dd84ab4ad451eab329904249b7acaa38e9a0c94a6bc7a,cpu,found,0.002,1,1,60.0,0.659,0.0268,0.6322,0.6322,6,1,60.000,7395206874,2007931,10821861,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:29:32+00:00
mad,0109c5aefd23dbe6d46dd84ab4ad451eab329904249b7acaa38e9a0c94a6bc7a,gpu,found,0.337,1,1,60.0,0.33680000000000004,0.0268,0.31,0.31,4,1,60.002,133844218231,34557597,150908655,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:30:32+00:00
tr12-30,94f8cf2fd2fc920ed6ea2452b0755aeec110eb8404716554485c25e7a1e06a3d,cpu,found,0.011,1,1,60.0,149602.0,130595.9999999999,19006,0.145533,55,1,60.001,4834113371,15287165,16542941,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:31:32+00:00
tr12-30,94f8cf2fd2fc920ed6ea2452b0755aeec110eb8404716554485c25e7a1e06a3d,gpu,found,0.594,1,1,60.0,143884.0,130595.9999999999,13288,0.101749,48,1,60.009,25252579647,23213794,26378410,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:32:32+00:00
neos-3627168-kasai,adf4a013825ad2932531128132c387eab68470ca087e23ea5cca4d2930954d7e,cpu,found,13.045,0,1,60.0,1004492.5999999954,988585.6199999998,15907,0.0160906,1,1,60.000,6535564399,4714371,74770465,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:33:32+00:00
neos-3627168-kasai,adf4a013825ad2932531128132c387eab68470ca087e23ea5cca4d2930954d7e,gpu,none,,0,0,60.0,,988585.6199999998,,,0,1,60.007,38971504505,43729522,977690,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:34:32+00:00
csched007,7d9ffe638f906498f432519c66db4570704070afdb88435a4bb75e5641f09973,cpu,none,,0,0,60.0,,350.9999999999955,,,0,1,60.000,3783987001,14335358,9676108,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:35:32+00:00
csched007,7d9ffe638f906498f432519c66db4570704070afdb88435a4bb75e5641f09973,gpu,none,,0,0,60.0,,350.9999999999955,,,0,1,60.002,32920640623,98876135,43367589,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:36:32+00:00
neos-4338804-snowy,a8111bbb59ae6b28be2253e0532c9e628749e7c7cc7d1a1603992ec079f7eb04,cpu,found,0.026,1,1,60.0,1546.0,1471.0,75,0.0509857,6,1,60.001,6755856329,7286491,6240101,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:37:32+00:00
neos-4338804-snowy,a8111bbb59ae6b28be2253e0532c9e628749e7c7cc7d1a1603992ec079f7eb04,gpu,found,1.072,1,1,60.0,1494.0,1471.0,23,0.0156356,17,1,60.457,120313925214,14418211,10318441,116,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:38:33+00:00
mc11,55f4d9c9d2022cffeb3e07cd7398753f5aab720f16fa49ab17223375bab83874,cpu,found,0.041,1,1,60.0,18863.0,11688.99999999966,7174,0.613739,993,1,60.019,4624244178,4973183,28601981,1,0,58a8374,e2e-L4,NVIDIA L4,2026-09-25T13:39:33+00:00
