instance,rows,cols,nnz,algorithm,tolerance,status,objective,published_objective,relative_error,iterations,seconds,seconds_min,seconds_max,repeats,wall_seconds,reached_tolerance,primal_residual,dual_residual,git_commit,machine,gpu,timestamp_utc
kkt_200x200,200,200,1000,pdhg-cpu,1e-04,feasible,15284.999999632697,15285.0,2.4030295929983917e-11,8920,0.043413,0.043012,0.044003,5,0.127366,1,5.556e-08,0.000e+00,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:19:35+00:00
kkt_200x200,200,200,1000,pdhg-cuda,1e-04,feasible,15285.000001612927,15285.0,1.0552352031106101e-10,12040,0.663281,0.407477,1.73776,5,0.834798,1,6.710e-08,8.157e-17,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:19:35+00:00
kkt_200x200,200,200,1000,pdhg-cpu,1e-08,optimal,15284.999999899437,15285.0,6.579184113512115e-12,18880,0.090737,0.090424,0.092489,5,0.211706,1,9.859e-08,0.000e+00,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:19:35+00:00
kkt_200x200,200,200,1000,pdhg-cuda,1e-08,feasible,15284.999999994818,15285.0,3.3904486821734675e-13,13720,0.723422,0.621666,0.795598,5,0.970921,1,3.378e-08,2.481e-16,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:19:35+00:00
kkt_500x500,500,500,2500,pdhg-cpu,1e-04,feasible,40595.99999840827,40596.0,3.920908817185071e-11,14880,0.17838,0.170608,0.181511,5,0.40212,1,6.902e-08,0.000e+00,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:19:35+00:00
kkt_500x500,500,500,2500,pdhg-cuda,1e-04,feasible,40596.00000006624,40596.0,1.6316956872481503e-12,14600,0.831675,0.542287,3.329728,5,0.990158,1,2.863e-08,4.234e-16,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:19:35+00:00
kkt_500x500,500,500,2500,pdhg-cpu,1e-08,feasible,40595.99999830272,40596.0,4.1808975873874175e-11,19880,0.227546,0.226065,0.229093,5,0.393522,1,7.220e-08,0.000e+00,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:19:35+00:00
kkt_500x500,500,500,2500,pdhg-cuda,1e-08,feasible,40595.99999966606,40596.0,8.225868328420596e-12,24680,1.327311,1.286858,2.706755,5,1.504947,1,9.665e-08,7.241e-15,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:19:35+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cpu,1e-04,feasible,84140.00000049494,84140.0,5.882335877670708e-12,2640,0.063587,0.063376,0.064191,5,0.185983,1,8.748e-08,0.000e+00,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:19:35+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cuda,1e-04,optimal,84140.00000037858,84140.0,4.499436969113288e-12,2880,0.267067,0.239898,0.372982,5,0.447389,1,8.054e-08,1.536e-16,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:19:35+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cpu,1e-08,feasible,84140.00000049494,84140.0,5.882335877670708e-12,2640,0.063863,0.063014,0.065757,5,0.181258,1,8.748e-08,0.000e+00,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:19:35+00:00
kkt_1000x1000,1000,1000,5000,pdhg-cuda,1e-08,optimal,84140.0000007425,84140.0,8.824541509533994e-12,3080,0.270045,0.243706,0.363837,5,0.480656,1,6.878e-08,3.307e-16,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:19:35+00:00
kkt_2000x2000,2000,2000,10000,pdhg-cpu,1e-04,feasible,184419.9999989934,184420.0,5.458270165963825e-12,22040,1.024771,1.014442,1.033581,5,1.123252,1,9.897e-08,0.000e+00,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:19:35+00:00
