instance,instance_sha256,rows,cols,nnz,algorithm,arm,cpu_threads,parallel_spmv,tolerance,status,objective,reference_objective,reference_source,abs_gap,rel_gap,iterations,seconds,wall_seconds,reached_tolerance,primal_residual,dual_residual,kkt_1e4_seconds,kkt_1e6_seconds,kkt_1e8_seconds,git_commit,machine,gpu,timestamp_utc,solver_options
refinery_year,93d6d4a03f61dab6015c3b01f80189200bbfc837573b6d02c1f5cda4f7379687,779640,11143226,11143226,pdhg-cpu,cpu-1t,1,false,1e-04,time_limit,-38289184.649119504,-38289180.41914,construction,4.230e+00,1.105e-07,4576,300.517627,314.613316,0,3.477e-02,5.908e-04,174.551679697,nan,nan,58a8374,Linux-x86_64,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T10:18:10+00:00,
refinery_year,93d6d4a03f61dab6015c3b01f80189200bbfc837573b6d02c1f5cda4f7379687,779640,11143226,11143226,pdhg-cpu,cpu-28t,28,true,1e-04,time_limit,-38289180.93499601,-38289180.41914,construction,5.159e-01,1.347e-08,9128,300.706386,313.633269,0,1.716e-02,3.735e-04,85.112121585,nan,nan,58a8374,Linux-x86_64,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T10:18:10+00:00,
refinery_year,93d6d4a03f61dab6015c3b01f80189200bbfc837573b6d02c1f5cda4f7379687,779640,11143226,11143226,pdhg-cuda,gpu,,,1e-04,time_limit,-38289180.425588325,-38289180.41914,construction,6.448e-03,1.684e-10,90200,300.557378,313.68033,0,4.594e-04,1.757e-05,12.615259111,70.659718566,nan,58a8374,Linux-x86_64,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T10:18:10+00:00,
refinery_year,93d6d4a03f61dab6015c3b01f80189200bbfc837573b6d02c1f5cda4f7379687,779640,11143226,11143226,pdhg-cpu,cpu-1t,1,false,1e-08,time_limit,-38289184.649119504,-38289180.41914,construction,4.230e+00,1.105e-07,4641,300.52392,313.369033,0,3.477e-02,5.908e-04,171.877208224,nan,nan,58a8374,Linux-x86_64,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T10:18:10+00:00,
refinery_year,93d6d4a03f61dab6015c3b01f80189200bbfc837573b6d02c1f5cda4f7379687,779640,11143226,11143226,pdhg-cpu,cpu-28t,28,true,1e-08,time_limit,-38289181.04101946,-38289180.41914,construction,6.219e-01,1.624e-08,9098,300.711311,313.718779,0,1.597e-02,3.949e-04,92.319955749,nan,nan,58a8374,Linux-x86_64,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T10:18:10+00:00,
refinery_year,93d6d4a03f61dab6015c3b01f80189200bbfc837573b6d02c1f5cda4f7379687,779640,11143226,11143226,pdhg-cuda,gpu,,,1e-08,time_limit,-38289180.42123126,-38289180.41914,construction,2.091e-03,5.462e-11,89440,300.570345,313.540844,0,9.012e-04,9.147e-06,12.705949868,70.42760657,nan,58a8374,Linux-x86_64,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T10:18:10+00:00,
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,67583,270328,270328,pdhg-cpu,cpu-1t,1,false,1e-04,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,480,1.526394,2.700563,1,7.735e-08,0.000e+00,0.905789621,1.245545287,1.468301343,58a8374,Linux-x86_64,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T10:18:10+00:00,
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,67583,270328,270328,pdhg-cpu,cpu-28t,28,true,1e-04,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,480,1.410443,2.548813,1,7.735e-08,0.000e+00,0.752277448,1.10648384,1.349502716,58a8374,Linux-x86_64,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T10:18:10+00:00,
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,67583,270328,270328,pdhg-cuda,gpu,,,1e-04,feasible,3.000000001252274,3.0,highs,1.252e-09,4.174e-10,440,0.592154,1.830314,1,3.259e-08,1.674e-20,0.245991486,0.27158663,0.284607684,58a8374,Linux-x86_64,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T10:18:10+00:00,
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,67583,270328,270328,pdhg-cpu,cpu-1t,1,false,1e-08,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,480,1.496987,2.487977,1,7.735e-08,0.000e+00,0.892896563,1.220061862,1.43839947,58a8374,Linux-x86_64,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T10:18:10+00:00,
