instance,instance_sha256,rows,cols,nnz,algorithm,arm,cpu_threads,parallel_spmv,tolerance,status,objective,reference_objective,reference_source,abs_gap,rel_gap,iterations,seconds,wall_seconds,reached_tolerance,primal_residual,dual_residual,kkt_1e4_seconds,kkt_1e6_seconds,kkt_1e8_seconds,git_commit,machine,gpu,timestamp_utc,solver_options
refinery_year,93d6d4a03f61dab6015c3b01f80189200bbfc837573b6d02c1f5cda4f7379687,779640,11143226,11143226,pdhg-cpu,cpu-1t,1,false,1e-04,time_limit,-38289179.41608861,-38289180.41914,construction,1.003e+00,2.620e-08,6684,300.434318,310.984426,0,2.198e-02,2.958e-04,120.674761494,nan,nan,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:04:17+00:00,
refinery_year,93d6d4a03f61dab6015c3b01f80189200bbfc837573b6d02c1f5cda4f7379687,779640,11143226,11143226,pdhg-cpu,cpu-16t,16,true,1e-04,time_limit,-38289181.06459382,-38289180.41914,construction,6.455e-01,1.686e-08,9543,300.51876,311.755544,0,1.623e-02,3.149e-04,74.164325614,nan,nan,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:04:17+00:00,
refinery_year,93d6d4a03f61dab6015c3b01f80189200bbfc837573b6d02c1f5cda4f7379687,779640,11143226,11143226,pdhg-cuda,gpu,,,1e-04,time_limit,-38289180.418815225,-38289180.41914,construction,3.248e-04,8.482e-12,71679,300.42578,311.036002,0,1.450e-04,2.315e-06,13.810411221,85.882012194,287.533039388,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:04:17+00:00,
refinery_year,93d6d4a03f61dab6015c3b01f80189200bbfc837573b6d02c1f5cda4f7379687,779640,11143226,11143226,pdhg-cpu,cpu-1t,1,false,1e-08,time_limit,-38289179.41608861,-38289180.41914,construction,1.003e+00,2.620e-08,6699,300.415171,310.936877,0,2.198e-02,2.958e-04,119.81672517,nan,nan,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:04:17+00:00,
refinery_year,93d6d4a03f61dab6015c3b01f80189200bbfc837573b6d02c1f5cda4f7379687,779640,11143226,11143226,pdhg-cpu,cpu-16t,16,true,1e-08,time_limit,-38289180.43283799,-38289180.41914,construction,1.370e-02,3.578e-10,10711,300.405644,311.247201,0,8.018e-03,1.600e-04,68.274789555,nan,nan,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:04:17+00:00,
refinery_year,93d6d4a03f61dab6015c3b01f80189200bbfc837573b6d02c1f5cda4f7379687,779640,11143226,11143226,pdhg-cuda,gpu,,,1e-08,time_limit,-38289180.420539714,-38289180.41914,construction,1.400e-03,3.656e-11,71895,300.442943,311.117061,0,1.266e-04,2.615e-06,13.822975044,73.405617928,279.77127551,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:04:17+00:00,
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,67583,270328,270328,pdhg-cpu,cpu-1t,1,false,1e-04,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,480,1.094682,1.467195,1,7.735e-08,0.000e+00,0.643236599,0.892660278,1.050830461,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:04:17+00:00,
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,67583,270328,270328,pdhg-cpu,cpu-16t,16,true,1e-04,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,480,1.36628,1.737002,1,7.735e-08,0.000e+00,0.821355869,1.120558469,1.320986793,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:04:17+00:00,
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,67583,270328,270328,pdhg-cuda,gpu,,,1e-04,feasible,3.0000000010542416,3.0,highs,1.054e-09,3.514e-10,440,0.374398,0.842771,1,3.615e-08,1.782e-20,0.178930553,0.198818497,0.20896175,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:04:17+00:00,
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,67583,270328,270328,pdhg-cpu,cpu-1t,1,false,1e-08,feasible,3.0000000022999487,3.0,highs,2.300e-09,7.666e-10,480,1.09273,1.470086,1,7.735e-08,0.000e+00,0.653553379,0.892210825,1.048751641,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T10:04:17+00:00,
