instance,rows,cols,nnz,algorithm,tolerance,status,objective,iterations,seconds,wall_seconds,reached_tolerance,primal_residual,dual_residual,git_commit,machine,gpu,timestamp_utc
refinery_year,779640,11143226,11143226,pdhg-cpu,1e-04,time_limit,-38289179.444070935,6671,300.41121,310.829553,0,,,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:21:50+00:00
refinery_year,779640,11143226,11143226,pdhg-cuda,1e-04,time_limit,-38289180.42626963,63480,300.476678,311.15964,0,,,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:21:50+00:00
refinery_year,779640,11143226,11143226,pdhg-cpu,1e-08,time_limit,-38289179.42698482,6636,300.440956,311.266184,0,,,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:21:50+00:00
refinery_year,779640,11143226,11143226,pdhg-cuda,1e-08,time_limit,-38289180.42091674,71726,300.458287,311.102132,0,,,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:21:50+00:00
chromaticindex1024-7,67583,270328,270328,pdhg-cpu,1e-04,feasible,3.0000000022999487,480,1.113689,1.472892,1,7.735e-08,0.000e+00,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:21:50+00:00
chromaticindex1024-7,67583,270328,270328,pdhg-cuda,1e-04,feasible,3.0000000014932557,440,0.394578,0.951435,1,5.681e-08,9.612e-21,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:21:50+00:00
chromaticindex1024-7,67583,270328,270328,pdhg-cpu,1e-08,feasible,3.0000000022999487,480,1.108923,1.480802,1,7.735e-08,0.000e+00,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:21:50+00:00
chromaticindex1024-7,67583,270328,270328,pdhg-cuda,1e-08,feasible,3.0000000005131193,440,0.381512,0.879448,1,3.986e-08,5.378e-20,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:21:50+00:00
brazil3,14646,133185,133185,pdhg-cpu,1e-04,feasible,1.999998811677631,80800,37.829333,38.162165,1,9.810e-08,4.616e-06,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:21:50+00:00
brazil3,14646,133185,133185,pdhg-cuda,1e-04,feasible,2.0000004851058013,70080,5.8429,6.319175,1,5.220e-08,1.488e-06,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:21:50+00:00
brazil3,14646,133185,133185,pdhg-cpu,1e-08,feasible,1.9999999975461507,194240,91.143214,92.105772,1,2.028e-10,3.687e-10,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:21:50+00:00
brazil3,14646,133185,133185,pdhg-cuda,1e-08,feasible,1.999999980286673,133640,10.987494,11.407068,1,1.626e-09,7.570e-10,fdc89c5,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-23T19:21:50+00:00
