instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
cre-a,e4f08d06fbded9822fd2f5a380a4e4358c187a3f2edcd7f160b01a114c7b52a4,3516,4067,14987,optimal,,23595407.060971618,23595407.0,0.060971617698669434,2.5840460263588348e-09,1,1,,1,0.0,0,0.261895,0.2190136,2945,simplex-dual,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
cre-b,e1ff3c2a10360e75bc8c447062d5d88677e4e77a06f8f5059a4e9d0960c16a09,9648,72447,256095,optimal,"crossover push: 599 superbasic, 466 pivots in the push; crossover: 8511 pivots from the interior point's basis guess in 9.03s, after 49 interior point iterations",23129639.88683238,23129640.0,0.11316762119531631,4.892753246281235e-09,1,1,,1,0.0,0,19.293222,18.9570158,8560,ipm+crossover,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
cre-c,1b086b2a9f51c8c321657938add3a4cb33f9b3f67a6acfa51df74def7782700f,3068,3678,13244,optimal,,25275116.14088022,25275116.0,0.14088021963834763,5.573870348937177e-09,1,1,,1,0.0,0,0.313583,0.2503949,2937,simplex-dual,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
cre-d,2f4b4529eb46b0b3db171bf221a2e210786f28d6494dc4b8d778d8c0c4c49580,8926,69980,242646,optimal,"crossover push: 618 superbasic, 498 pivots in the push; crossover: 7311 pivots from the interior point's basis guess in 6.80s, after 45 interior point iterations",24454969.764549237,24454970.0,0.23545076325535774,9.627930979075326e-09,1,1,,1,0.0,0,14.159224,13.8732351,7356,ipm+crossover,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
ken-07,d8c0c74c61c934cde948606f6e228545636d168da3500f276b817d46b4fb05c1,2426,3602,8404,optimal,,-679520443.3816886,-679520440.0,3.3816885948181152,4.9765811236202335e-09,1,1,,1,0.0,0,0.088133,0.0484913,1330,simplex-dual,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
ken-11,0c4f9e0f86bf073c91dfb10c5425ccdd8cae2244cc9ea076299d060148952920,14694,21349,49058,optimal,,-6972382262.519994,-6972382300.0,37.48000621795654,5.37549500376027e-09,1,1,,1,0.0,0,2.513574,2.3889554,9051,simplex-dual,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
ken-13,7df62e66d933bb995c122122591761ef663ad46036c10fe949bfccee85d1d5a3,28632,42659,97246,optimal,"crossover push: 2957 superbasic, 2957 pivots in the push; crossover: 6088 pivots from the interior point's basis guess in 4.14s, after 29 interior point iterations",-10257394789.48247,-10257395000.0,210.51753044128418,2.052348870656577e-08,1,1,,1,0.0,0,5.040864,4.8265673,6117,ipm+crossover,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
ken-18,e6b765b039e1ed333f103ee20fb2efc0875f85c87eb9a5dcd2559a803a2aecec,105127,154699,358171,optimal,"stopped at relative primal 3.488e-10, dual 0.000e+00, gap 7.735e-09 after 187075 iterations and 18 restarts (target 1.0e-04); polished by the interior point in 6 iterations",-52217025287.39682,-52217025000.0,287.3968200683594,5.503891117281373e-09,1,1,,1,0.0,0,423.351496,422.4963424,187081,pdhg-cpu+ipm,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
osa-07,6eadbf9bcef50880d50598cf4b8b66a2b703367d837eae3ce1e2472032137aa8,1118,23949,143694,optimal,"crossover push: 13 superbasic, 8 pivots in the push; crossover: 13 pivots from the interior point's basis guess in 0.01s, after 35 interior point iterations",535722.5172993509,535722.52,0.0027006490854546428,5.041134140589503e-09,1,1,,1,0.0,0,0.391677,0.2313952,48,ipm+crossover,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
osa-14,23d014bae5b02d77efca7369c07eecbe99152a564b52ab0e3bfe7c479535afeb,2337,52460,314760,optimal,"crossover push: 97 superbasic, 16 pivots in the push; crossover: 22 pivots from the interior point's basis guess in 0.01s, after 28 interior point iterations",1106462.8447362536,1106462.8,0.044736253563314676,4.0431773723720916e-08,1,1,,1,0.0,0,0.79989,0.4691897,50,ipm+crossover,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
osa-30,213055e8e285253c06dfdf73c8e97e4a931ddc3d43f99d76231488b131d500fa,4350,100024,600138,optimal,"crossover push: 222 superbasic, 45 pivots in the push; crossover: 52 pivots from the interior point's basis guess in 0.03s, after 24 interior point iterations",2142139.873209765,2142139.9,0.026790234725922346,1.2506295562639184e-08,1,1,,1,0.0,0,1.63559,0.9324671,76,ipm+crossover,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
osa-60,d136b57dfbd3c4950af1e105496bd2f2d5dc7c8907068b4263f948d5de37363e,10280,232966,1397793,optimal,"crossover push: 524 superbasic, 154 pivots in the push; crossover: 167 pivots from the interior point's basis guess in 0.13s, after 33 interior point iterations",4044072.503157441,4044072.5,0.0031574410386383533,7.807577729228033e-10,1,1,,1,0.0,0,4.95263,3.2617409,200,ipm+crossover,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
pds-02,6d6ba277dbc612ddb149582cddcf5bef86fd029fe46e79298441043a226f7d70,2953,7535,16390,optimal,,28857862010.0,28857862000.0,10.0,3.465260177625078e-10,1,1,,1,0.0,0,0.112376,0.0627413,964,simplex-dual,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
pds-06,f3b2c766aaa7816ef0327980c17e3cb3be2ca9e4575250fe5b37b41757707a27,9881,28655,62524,optimal,,27761037600.0,27761038000.0,400.0,1.4408683133534129e-08,1,1,,1,0.0,0,2.608258,2.5247841,9478,simplex-dual+primal,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
pds-10,782c0d5a4e33d25f8ae1ea8f9ff4e2da1c9c99177ccd9b1a80470230c275a87a,16558,48763,106436,optimal,"crossover push: 4529 superbasic, 3451 pivots in the push; crossover: 6122 pivots from the interior point's basis guess in 2.67s, after 61 interior point iterations",26727094976.0,26727095000.0,24.0,8.979651548363187e-10,1,1,,1,0.0,0,26.015007,25.8857565,6183,ipm+crossover,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
pds-20,c23c090dc655ebacf4004bf5e2cfcb129991aee4b5deb72b12fc7e674d763ff6,33874,105728,230200,feasible,"; no time left for crossover, the interior point's answer stands; engine reported optimal but the largest |multiplier| * slack is 1.506e-06, above the 1.0e-06 the independent verifier accepts; reporting a feasible point rather than a proof",23821658639.999897,23821659000.0,360.0001029968262,1.511230191804971e-08,0,1,,0,0.0,0,373.402979,373.0452969,77,ipm,65eecbc,Windows-AMD64,2026-09-23T22:38:22+00:00,
