instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,reference_objective,absolute_gap,relative_gap,matches_reference,primal_residual,dual_residual,duality_gap,primal_residual_rel,dual_residual_rel,duality_gap_rel,success_rel_1e-6,success_rel_1e-9,success_abs_1e-6,success_abs_1e-9,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
aug2d,02192b136ef5a1cbc3115c1c8ecf16a00047f8bdb7ead4233109796b3f4b34a9,10000,20200,40000,optimal,,1687411.8698885944,1687411.8,0.0698885943274945,4.14176280665422e-08,1,5.930809532372905e-08,4.4527129716698255e-07,0.061248320154845715,1.6980814641388512e-09,1.3124574801789394e-08,3.6297196462704414e-08,1,0,0,0,1,,1,1.175217,0.964491673,3250,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
aug2dc,04e9ead714afdc3b34ecec3b7c2d7860e7dc8b07c56b7c34b8bb7854f1ff047a,10000,20200,40000,optimal,,1818368.2521236895,1818368.1,0.15212368941865861,8.365945785050816e-08,1,8.74702437148045e-08,4.1061302269440603e-07,0.13197031430900097,2.5295913521261252e-09,1.1874702837970244e-08,7.257623099989323e-08,1,0,0,0,1,,1,1.190026,0.956482511,3250,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
aug2dcqp,46196205ae60e36a1ffb6ce90ea9f2372faedafb9da5f37da4be97dcae47c54f,10000,20200,40000,feasible,"the in-process KKT check does not back the optimal claim (complementary slackness: |multiplier| * slack = 1.004e-06 on column 222); reported as feasible, not optimal (#590)",6498135.084731957,6498134.8,0.2847319571301341,4.381749007886603e-08,0,4.4286827982631394e-08,8.843140975045571e-07,0.12054036650806665,6.782471334789319e-10,3.1758064869628333e-10,1.8549993950000944e-08,0,0,0,0,1,,0,2.476106,2.12256936,7000,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
aug2dqp,b197b11fcee4907481a21e886ced528145063dbbb061e116c88c17f9dad64c1b,10000,20200,40000,feasible,"the in-process KKT check does not back the optimal claim (dual feasibility (columns): 1.121e-07 (1.121e-07 relative) on column 192); reported as feasible, not optimal (#590)",6237012.048142217,6237012.1,0.051857782527804375,8.314523316028901e-09,0,3.0292151009803092e-09,5.733219676784529e-07,0.04674300830811262,4.617105118274237e-11,2.1020877716148282e-10,7.494455349342429e-09,0,0,0,0,1,,0,2.838701,2.504541433,8350,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
aug3d,76f244bf29b122513d1f4c97b892284d85f2ac95030e13cffd1cd26c582bf94e,1000,3873,6546,optimal,,554.0677662250303,554.06773,3.622503027145285e-05,6.538014814804835e-08,1,7.825003933703556e-08,2.886934913348682e-08,2.4370934170292458e-05,1.9503962524065927e-08,9.584754151095776e-09,4.398547552464753e-08,1,0,0,0,1,,1,0.215772,0.013226036,350,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
aug3dc,b072c781ed91457d1384275247803fc1edd7a6ad15276885e258c80fce69a3bc,1000,3873,6546,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 5.490e-07 (5.390e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",771.2627940325087,771.26244,0.0003540325087669771,4.590298845189157e-07,0,,,,,,,0,0,0,0,,,0,0.178254,0.022483686,400,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
aug3dcqp,96a6134f1de6ab9ff6728eeae3afb712812edfa57ab116b96b5b36b564d0f5e3,1000,3873,6546,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 7.551e-07 (7.551e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",993.3628567130636,993.36215,0.0007067130635505237,7.114354654548934e-07,0,,,,,,,0,0,0,0,,,0,0.267868,0.038235826,700,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
aug3dqp,1de556794b7d959bbe7ff26676c1447eea09ecb0c4431c6d06391f004bf6daed,1000,3873,6546,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 6.020e-07 (6.020e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",675.2380916257389,675.23767,0.0004216257389089151,6.244108669306248e-07,0,,,,,,,0,0,0,0,,,0,0.264493,0.037734441,700,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
boyd1,6902192b4f0556984e61acdb30a44d5f335991d00e103950499f3012c29d0fc5,18,93261,558985,time_limit,"stopped at the time limit of 29.9825s after 29.98s, 11672 iterations, 0 nodes",-84689092.26722682,-61735220.0,22953872.267226815,0.37181162174892735,0,14549599.852624238,109048849.53812742,156740479818.70132,3.879893293541449e-06,0.5111853222498478,1.0005406062034126,0,0,0,0,,,0,30.709937,29.986517092,11672,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
boyd2,c1c49668a02e6487fad5aebb3029aa41b1e6180a5680262d5fdd6f8dc6795e4f,186531,93263,423784,time_limit,"stopped at the time limit of 29.9679s after 29.97s, 15223 iterations, 0 nodes",-2.0900654565943078,21.256767,23.346832456594306,1.098324710271995,0,13106277.196254853,106470798323.84906,323288874101750.9,6.067720923066657e-05,1.0,1.0000000000000064,0,0,0,0,,,0,30.733834,29.969663435,15223,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
