instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,reference_objective,absolute_gap,relative_gap,matches_reference,primal_residual,dual_residual,duality_gap,primal_residual_rel,dual_residual_rel,duality_gap_rel,success_rel_1e-6,success_rel_1e-9,success_abs_1e-6,success_abs_1e-9,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
aug2d,02192b136ef5a1cbc3115c1c8ecf16a00047f8bdb7ead4233109796b3f4b34a9,10000,20200,40000,optimal,,1687411.7333523424,1687411.8,0.06664765765890479,3.9496972617416083e-08,1,9.907919706897417e-09,1.8546586488810135e-10,0.019567597191780806,2.8367890143816233e-10,5.4666912299088746e-12,1.1596219569954025e-08,1,0,0,0,1,,1,9.720541,9.6288203,55000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
aug2dc,04e9ead714afdc3b34ecec3b7c2d7860e7dc8b07c56b7c34b8bb7854f1ff047a,10000,20200,40000,optimal,,1818368.0444758488,1818368.1,0.05552415130659938,3.053515473935084e-08,1,9.890710139792702e-09,1.8146550928577199e-10,0.021118477685377002,2.860339117152279e-10,5.247882986033321e-12,1.161397303712246e-08,1,0,0,0,1,,1,10.112857,10.0165752,57250,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
aug2dcqp,46196205ae60e36a1ffb6ce90ea9f2372faedafb9da5f37da4be97dcae47c54f,10000,20200,40000,optimal,,6498134.661831944,6498134.8,0.13816805556416512,2.1262725353768457e-08,1,9.95920346191781e-09,9.272582701669307e-11,0.07766483258455992,1.52523937329968e-10,3.330030598933891e-14,1.1951865527271973e-08,1,0,0,0,1,,1,36.885026,36.7968275,221900,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
aug2dqp,b197b11fcee4907481a21e886ced528145063dbbb061e116c88c17f9dad64c1b,10000,20200,40000,optimal,,6237011.950985105,6237012.1,0.14901489485055208,2.3892032348398376e-08,1,9.964595037992297e-09,9.369988118734796e-11,0.07460616063326597,1.518795512872751e-10,3.4355107070208856e-14,1.1961843319709361e-08,1,0,0,0,1,,1,35.474989,35.3871472,217450,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
aug3d,76f244bf29b122513d1f4c97b892284d85f2ac95030e13cffd1cd26c582bf94e,1000,3873,6546,optimal,,554.0677252077726,554.06773,4.7922274006850785e-06,8.649172549148601e-09,1,1.107905767128159e-09,2.566480361565482e-10,7.258818186528515e-07,2.761475028867555e-10,8.520830793314598e-11,1.310095832471864e-09,1,0,1,0,1,,1,0.049795,0.0081885,350,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
aug3dc,b072c781ed91457d1384275247803fc1edd7a6ad15276885e258c80fce69a3bc,1000,3873,6546,optimal,,771.2624379854028,771.26244,2.0145971575402655e-06,2.612077359219341e-09,1,1.0787923887534134e-09,2.0854185045493523e-10,8.912547855288722e-07,3.8790432325775033e-10,7.498596228058035e-11,1.155579139607811e-09,1,0,1,0,1,,1,0.053012,0.0135786,450,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
aug3dcqp,96a6134f1de6ab9ff6728eeae3afb712812edfa57ab116b96b5b36b564d0f5e3,1000,3873,6546,optimal,,993.3621387978624,993.36215,1.1202137670807133e-05,1.1276992656512162e-08,1,8.214379398907568e-09,8.313403299098354e-10,8.66445952851791e-06,2.4813718204802506e-09,1.2561885877338802e-10,8.722357249722427e-09,1,0,0,0,1,,1,0.070119,0.041959,1400,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
aug3dqp,1de556794b7d959bbe7ff26676c1447eea09ecb0c4431c6d06391f004bf6daed,1000,3873,6546,optimal,,675.2376676471031,675.23767,2.352896899537882e-06,3.4845462628556874e-09,1,5.257672852643225e-09,5.772813338467131e-10,4.21986214860226e-06,1.5267542628301458e-09,1.10578246652747e-10,6.2494471567838485e-09,1,0,0,0,1,,1,0.069316,0.0345831,1250,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
boyd1,6902192b4f0556984e61acdb30a44d5f335991d00e103950499f3012c29d0fc5,18,93261,558985,time_limit,"stopped at the time limit of 299.965s after 299.97s, 153129 iterations, 0 nodes",-95250705.5025101,-61735220.0,33515485.5025101,0.542890840957724,0,16525316.361952841,223368.6224423548,560596792.0731196,4.406751030328195e-06,1.00089907898157,1.2046878833868822,0,0,0,0,,,0,300.687534,299.9676129,153129,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
boyd2,c1c49668a02e6487fad5aebb3029aa41b1e6180a5680262d5fdd6f8dc6795e4f,186531,93263,423784,time_limit,"stopped at the time limit of 299.952s after 299.95s, 196630 iterations, 0 nodes",-2.1053364286712415,21.256767,23.36210342867124,1.099043115478061,0,4873797.154496759,206992.45591900343,683833219.9526169,2.2563875711373364e-05,1.0,1.000000003078728,0,0,0,0,,,0,300.716176,299.9539963,196630,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
