instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 109076 nodes",-1.5000000000000004,-1.50000000000001,-1.8181818181818183,0.3181818181818179,0.21212121212121188,1,0,1,109076,0,-1.8181818181818183,-1.8181818181818183,0.0000,60.170139,60.0010834,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 66840 nodes",51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,66840,0,1.0,1.0,0.0000,60.157957,60.0009549,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,time_limit,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 46704 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",20.0,27.0,19.0,1.0,0.05,0,0,,46704,0,1.0000000000000004,1.0000000000000004,0.0000,60.155768,60.0002646,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,time_limit,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 59460 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",30.0,37.0,23.0,7.0,0.23333333333333334,0,0,,59460,0,15.500000000000002,15.500000000000002,0.0000,60.162430,60.001038,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,,20772.0,20771.99999999983,20772.0,0.0,0.0,1,1,1,541,0,20650.89815396325,20650.89815396325,0.0000,2.230411,1.5436358,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,"optimal within the relative gap target (2.250e+01 absolute, 2.165e-05 relative) after 437 nodes; the bound is the best open node's, the tree was not exhausted",1201500.0,1201500.0,1201477.5,22.5,1.8726591760299626e-05,1,1,1,437,0,1167185.7255923203,1167185.7255923203,0.0000,0.196051,0.041574,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 87737 nodes",-9431.21240856,-9476.155197,-9500.681577671408,69.46916911140761,0.00736587896677586,0,0,1,87737,0,-9505.628172760296,-9505.628172760296,0.0000,60.176029,60.0012877,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 97207 nodes",6870.870655142001,6840.96564179,6786.504311480389,84.36634366161161,0.012278843234877924,0,0,1,97207,0,6765.209042727767,6765.209042727767,0.0000,60.191337,60.0012589,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.34999999999997,202.3499999999979,202.34999999999997,0.0,0.0,1,1,1,71,0,185.55,185.55,0.0000,0.233500,0.0380915,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,263,0,13460.233074411899,13460.233074411899,0.0000,0.365961,0.1800084,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 92137 nodes",12066.0,11392.99999884458,7026.721000000001,5039.278999999999,0.41764288082214474,0,0,1,92137,0,3320.7709999999997,3320.7709999999997,0.0000,60.244716,60.0002321,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 121027 nodes",40.0,0.9999999999990905,0.0,40.0,1.0,0,0,1,121027,0,0.0,0.0,0.0000,60.170864,60.0010676,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 178712 nodes",3.9999999999995293,1.0,0.0,3.9999999999995293,1.0,0,0,1,178712,0,0.0,0.0,0.0000,60.156900,60.0001516,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
