instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads,restarts,reduced_cost_fixings
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,"stopped at the time limit of 59.997s after 60.00s, 0 iterations, 111007 nodes",-1.5000000000000004,-1.50000000000001,-1.8181818181818183,0.3181818181818179,0.21212121212121188,1,0,1,111007,0,-1.8181818181818183,-1.8181818181818183,0.0000,60.034665,59.9975643,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 68297 nodes",51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,68297,0,1.0,1.0,0.0000,60.022716,60.00056,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,time_limit,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 124031 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",27.0,27.0,20.0,7.0,0.25925925925925924,1,0,,124031,0,1.0000000000000004,1.0000000000000004,0.0000,60.025241,60.001042,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,time_limit,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 96869 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",26.0,37.0,23.0,3.0,0.11538461538461539,0,0,,96869,0,15.500000000000002,15.500000000000002,0.0000,60.028454,60.000729,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,,20772.0,20771.99999999983,20772.0,0.0,0.0,1,1,1,541,0,20650.89815396325,20650.89815396325,0.0000,1.675978,1.6594436,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,,1201500.0,1201500.0,1201500.0,0.0,0.0,1,1,1,801,0,1167185.7255923203,1167185.7255923203,0.0000,0.056176,0.0377088,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 108459 nodes",-9438.111136408,-9476.155197,-9500.350528893525,62.23939248552415,0.006594475482009581,0,0,1,108459,0,-9505.628172760296,-9505.628172760296,0.0000,60.027653,60.0006008,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 104695 nodes",6859.0846354899995,6840.96564179,6789.249116179611,69.83551931038892,0.010181463419921776,0,0,1,104695,0,6765.209042727767,6765.209042727767,0.0000,60.028859,60.0004925,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.35,202.3499999999979,202.35,0.0,0.0,1,1,1,77,0,185.55,185.55,0.0000,0.046421,0.0242725,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,253,0,13460.233074411899,13460.233074411899,0.0000,0.157071,0.137385,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
