instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 102072 nodes",-1.5000000000000009,-1.50000000000001,-1.7333333333333336,0.23333333333333273,0.15555555555555506,1,0,1,102072,13,-1.8181818181818183,-1.7333333333333336,0.2667,60.027659,60.0004551,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 71376 nodes",51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,71376,0,1.0,1.0,0.0000,60.023631,60.0012341,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,time_limit,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 133426 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",25.0,27.0,21.0,4.0,0.16,0,0,,133426,14,1.0000000000000004,1.5,0.0208,60.026122,60.0017926,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,time_limit,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 64707 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",33.0,37.0,22.0,11.0,0.3333333333333333,0,0,,64707,281,15.500000000000002,17.400000000000002,0.1086,60.028620,60.0010353,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,,20772.0,20771.99999999983,20772.0,0.0,0.0,1,1,1,1,40,20650.89815396325,20772.0,1.0000,0.036870,0.0181231,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,,1201500.0,1201500.0,1201499.9999999995,4.656612873077393e-10,3.8756661448833897e-16,1,1,1,725,1,1167185.7255923203,1167875.1663773148,0.0201,0.050883,0.0353444,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 111897 nodes",-9446.366450848,-9476.155197,-9500.407844125883,54.04139327788289,0.005720865642792377,0,0,1,111897,0,-9505.628172760296,-9505.628172760296,0.0000,60.024126,60.000844,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 116964 nodes",6862.32056552,6840.96564179,6787.425097019449,74.89546850055103,0.010914014841694552,0,0,1,116964,1,6765.209042727767,6766.160533329095,0.0098,60.028877,60.0013924,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.35,202.3499999999979,202.35,0.0,0.0,1,1,1,44,4,185.55,189.95000000000002,0.2619,0.039153,0.0208185,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,215,13,13460.233074411899,20539.942955771974,0.9188,0.132572,0.1158312,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 91760 nodes",12271.0,11392.99999884458,6782.339,5488.661,0.44728718115882976,0,0,1,91760,26,3320.7709999999997,3936.4309606105603,0.0688,60.036808,60.0001571,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 130870 nodes",40.0,0.9999999999990905,0.0,40.0,1.0,0,0,1,130870,0,0.0,0.0,0.0000,60.023774,60.000635,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 186682 nodes",3.9999999999995293,1.0,0.0,3.9999999999995293,1.0,0,0,1,186682,0,0.0,0.0,0.0000,60.020325,60.0006339,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 139908 nodes",20.999999999999932,1.0,0.0,20.999999999999932,1.0,0,0,1,139908,0,0.0,0.0,0.0000,60.025052,60.000625,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0,3175561447.5053167,3175561447.5053167,0.0000,0.018926,0.0041191,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
