instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads,restarts,reduced_cost_fixings
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 114032 nodes",-1.5000000000000002,-1.50000000000001,-1.7777777777777775,0.27777777777777724,0.1851851851851848,1,0,1,114032,7,-1.8181818181818183,-1.7333333333333334,0.2667,60.026383,60.0002544,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 69109 nodes",51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,69109,0,1.0,1.0,0.0000,60.018807,60.0008093,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,time_limit,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 49724 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",21.666666666666668,27.0,17.0,4.666666666666668,0.21538461538461542,0,0,,49724,418,1.0000000000000004,1.5,0.0242,60.022482,60.0003073,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,time_limit,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 52944 nodes; no integer feasible point was found, so the point reported is the last LP relaxation, fractional by 5.000e-01",26.000000000000007,37.0,24.0,2.000000000000007,0.07692307692307718,0,0,,52944,490,15.500000000000002,16.0,0.0476,60.028463,60.0007081,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,,20772.0,20771.99999999983,20772.0,0.0,0.0,1,1,1,3,44,20650.89815396325,20760.32077688293,0.9036,0.058715,0.0411944,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,,1201499.999999999,1201500.0,1201499.999999999,0.0,0.0,1,1,1,692,2,1167185.7255923203,1167875.1663773148,0.0201,0.052082,0.0368561,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 113086 nodes",-9438.111136408,-9476.155197,-9500.309505984687,62.19836957668667,0.0065901289651859735,0,0,1,113086,0,-9505.628172760296,-9505.628172760296,0.0000,60.029375,60.0007387,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 117059 nodes",6859.0846354899995,6840.96564179,6788.801213207854,70.2834222821457,0.010246764111713689,0,0,1,117059,2,6765.209042727767,6766.160533329095,0.0101,60.026824,60.0007952,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.34999999999997,202.3499999999979,202.34999999999997,0.0,0.0,1,1,1,29,49,185.55,189.95000000000002,0.2619,0.080947,0.06538,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,56,115,13460.233074411899,20539.942955771974,0.9188,0.248097,0.2304701,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 55837 nodes",12670.0,11392.99999884458,7232.664999999999,5437.335000000001,0.42915035516969224,0,0,1,55837,192,3320.7709999999997,3936.4309606105603,0.0659,60.029668,60.0011427,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 129834 nodes",29.00000000000038,0.9999999999990905,0.0,29.00000000000038,1.0,0,0,1,129834,0,0.0,0.0,0.0000,60.024663,60.0003823,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 168356 nodes",7.000000000000043,1.0,0.0,7.000000000000043,1.0,0,0,1,168356,0,0.0,0.0,0.0000,60.023417,60.000434,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 140781 nodes",19.0,1.0,0.0,19.0,1.0,0,0,1,140781,0,0.0,0.0,0.0000,60.022405,60.0004113,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0,3175561447.5053167,3175561447.5053167,0.0000,0.020477,0.0039477,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
