instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,cut_filter,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads,restarts,reduced_cost_fixings,seed,permuted_sha256,time_to_first_feasible,primal_integral,incumbents,incumbent_trace_recorded,certificate,certificate_check_seconds
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 159788 nodes",7.000000000000043,1.0,0.0,7.000000000000043,1.0,0,0,1,159788,0,gomory 4: 4 too_dense; mir 8: 8 too_dense,0.0,0.0,0.0000,61.113904,60.000428909,58a8374,Linux-x86_64,2026-09-25T13:02:18+00:00,,1,0,0,0,,0.003044,52.682015,11,1,,
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 102050 nodes",14.000000000000085,11.0,4.992925084790905,9.00707491520918,0.643362493943509,0,0,1,102050,0,gomory 15: 15 too_dense,0.0,0.0,0.0000,61.014335,60.000367646,58a8374,Linux-x86_64,2026-09-25T13:02:18+00:00,,1,0,0,0,,0.088928,19.925823,8,1,,
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 77648 nodes",1106772.99999961,764771.99999978,293212.0,813560.99999961,0.7350748527474891,0,0,1,77648,30,"gomory 129: 129 accepted; mir 256: 246 accepted, 10 duplicate",28693.99999999998,193698.6451612903,0.1531,61.150240,60.000408587,58a8374,Linux-x86_64,2026-09-25T13:02:18+00:00,,1,0,0,0,,5.173136,22.204239,4,1,,
mas76,91f624659e181538020e0c627910f02ffa6b355d6df708ef324e697a69485a74,12,151,1640,150,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 107043 nodes",41095.97792999997,40005.05398999999,39526.556274504874,1569.421655495098,0.038189178954892905,0,0,1,107043,0,gomory 11: 11 too_dense,38893.90364052266,38893.90364052266,0.0000,61.135322,60.000354467,58a8374,Linux-x86_64,2026-09-25T13:02:18+00:00,,1,0,0,0,,0.043787,2.358390,13,1,,
neos-3754480-nidda,63f322dd9be49acf31f7579d8f04e3bb578bdd7ca7d3525683384190c9a8bf7f,402,253,1488,50,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 47729 nodes",14727.738240696295,12941.73838561778,-437537.56893641094,452265.30717710726,30.70840204963645,0,0,1,47729,0,gomory 41: 41 too_dense,-1216923.270104403,-1216923.270104403,0.0000,60.656861,60.000639124,58a8374,Linux-x86_64,2026-09-25T13:02:18+00:00,,1,0,0,0,,0.362149,8.557253,11,1,,
glass4,0d6e6ceaf921e5d5489b9926fdfed2ce0aa25fd9acfa9deb6794669b56b59591,396,322,1815,302,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 64490 nodes",2688915333.333401,1200012599.972384,800004250.0,1888911083.3334012,0.7024806842808811,0,0,1,64490,30,"gomory 72: 36 accepted, 36 duplicate; mir 71: 35 accepted, 36 duplicate",800002400.0,800002400.0,0.0000,61.229256,60.000020773,58a8374,Linux-x86_64,2026-09-25T13:02:18+00:00,,1,0,0,0,,1.214842,35.682827,6,1,,
mad,0109c5aefd23dbe6d46dd84ab4ad451eab329904249b7acaa38e9a0c94a6bc7a,51,220,2808,200,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 42619 nodes",0.529599999999999,0.0268,-1.1932709530379767e-15,0.5296000000000002,0.5296000000000002,0,0,1,42619,5,"gomory 19: 19 too_dense; mir 18: 5 accepted, 13 too_dense",-4.2585791176643604e-16,-9.997499366496248e-17,0.0000,60.995706,59.999917537,58a8374,Linux-x86_64,2026-09-25T13:02:18+00:00,,1,0,0,0,,0.144268,57.107802,13,1,,
tr12-30,94f8cf2fd2fc920ed6ea2452b0755aeec110eb8404716554485c25e7a1e06a3d,750,1080,2508,360,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 37783 nodes",186105.0,130595.9999999999,27456.338161767446,158648.66183823254,0.85246856257614,0,0,1,37783,30,gomory 340: 340 accepted; mir 340: 340 accepted,18124.17451832871,22904.232068660192,0.0285,61.293699,60.000312712,58a8374,Linux-x86_64,2026-09-25T13:02:18+00:00,,1,0,0,0,,4.627082,21.348121,12,1,,
neos-3627168-kasai,adf4a013825ad2932531128132c387eab68470ca087e23ea5cca4d2930954d7e,1655,1462,5158,535,feasible,"stopped at the time limit of 59.9995s after 60.01s, 0 iterations, 4954 nodes",990055.3399999995,988585.6199999998,958306.514444446,31748.825555553543,0.03206772820957014,0,0,1,4954,30,"gomory 176: 103 accepted, 49 too_dense, 24 coefficient_ratio; mir 280: 280 accepted",945808.0955555545,945808.0955555526,0.0000,60.726538,60.010777576,58a8374,Linux-x86_64,2026-09-25T13:02:18+00:00,,1,0,0,0,,4.803010,4.940056,5,1,,
csched007,7d9ffe638f906498f432519c66db4570704070afdb88435a4bb75e5641f09973,351,1758,6379,1457,time_limit,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 4067 nodes; no feasible point had been found when the limit stopped the search, so none is reported (the objective is the worst representable value, not a solution)",inf,350.9999999999955,294.06735600490026,inf,inf,0,0,,4067,30,"gomory 10: 7 accepted, 1 too_dense, 2 duplicate; mir 66: 60 accepted, 6 duplicate",269.2515873015853,280.4162422619635,,60.917514,60.004785718,58a8374,Linux-x86_64,2026-09-25T13:02:18+00:00,,1,0,0,0,,,60.004786,0,0,,
