instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,cut_filter,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads,restarts,reduced_cost_fixings,seed,permuted_sha256,time_to_first_feasible,primal_integral,incumbents,incumbent_trace_recorded,certificate,certificate_check_seconds
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 122583 nodes",8.000000000000039,1.0,0.0,8.000000000000039,1.0,0,0,1,122583,0,gomory 4: 4 too_dense; mir 8: 8 too_dense,0.0,0.0,0.0000,60.650192,60.001601843,58a8374,Linux-x86_64,2026-09-25T16:05:22+00:00,gpu_batch_nodes=true gpu_batch_strong_branching=score gpu_batch_backend=cpu,1,0,0,0,,0.001373,53.173266,8,1,,
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 37332 nodes",23.99999999999996,11.0,2.26270417448024,21.73729582551972,0.9057206593966565,0,0,1,37332,0,gomory 15: 15 too_dense,0.0,0.0,0.0000,60.740940,60.000253665,58a8374,Linux-x86_64,2026-09-25T16:05:22+00:00,gpu_batch_nodes=true gpu_batch_strong_branching=score gpu_batch_backend=cpu,1,0,0,0,,0.502683,34.773005,13,1,,
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9998s after 60.01s, 0 iterations, 19701 nodes",1221765.99999961,764771.99999978,251846.9784947003,969919.0215049097,0.7938664371943722,0,0,1,19701,30,"gomory 129: 129 accepted; mir 256: 246 accepted, 10 duplicate",28693.99999999998,193698.6451612903,0.1383,60.718097,60.009008574,58a8374,Linux-x86_64,2026-09-25T16:05:22+00:00,gpu_batch_nodes=true gpu_batch_strong_branching=score gpu_batch_backend=cpu,1,0,0,0,,8.934786,29.845954,3,1,,
mas76,91f624659e181538020e0c627910f02ffa6b355d6df708ef324e697a69485a74,12,151,1640,150,feasible,"stopped at the time limit of 59.9999s after 60.01s, 0 iterations, 31376 nodes",41736.75168535156,40005.05398999999,39374.56459142212,2362.187093929446,0.05659729132103272,0,0,1,31376,0,gomory 11: 11 too_dense,38893.90364052266,38893.90364052266,0.0000,60.749961,60.010349048,58a8374,Linux-x86_64,2026-09-25T16:05:22+00:00,gpu_batch_nodes=true gpu_batch_strong_branching=score gpu_batch_backend=cpu,1,0,0,0,,0.420938,5.352379,13,1,,
neos-3754480-nidda,63f322dd9be49acf31f7579d8f04e3bb578bdd7ca7d3525683384190c9a8bf7f,402,253,1488,50,feasible,"stopped at the time limit of 59.9998s after 60.01s, 0 iterations, 1626 nodes",15638.672746083264,12941.73838561778,-783727.6987573488,799366.371503432,51.11471954700471,0,0,1,1626,0,gomory 41: 41 too_dense,-1216923.270104403,-1216923.270104403,0.0000,60.694438,60.006021688,58a8374,Linux-x86_64,2026-09-25T16:05:22+00:00,gpu_batch_nodes=true gpu_batch_strong_branching=score gpu_batch_backend=cpu,1,0,0,0,,0.949452,11.706704,5,1,,
glass4,0d6e6ceaf921e5d5489b9926fdfed2ce0aa25fd9acfa9deb6794669b56b59591,396,322,1815,302,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 12787 nodes",3200029550.0000277,1200012599.972384,800003900.0,2400025650.0000277,0.7500010898336882,0,0,1,12787,30,"gomory 72: 36 accepted, 36 duplicate; mir 71: 35 accepted, 36 duplicate",800002400.0,800002400.0,0.0000,60.782671,60.000040453,58a8374,Linux-x86_64,2026-09-25T16:05:22+00:00,gpu_batch_nodes=true gpu_batch_strong_branching=score gpu_batch_backend=cpu,1,0,0,0,,17.511621,44.378412,3,1,,
mad,0109c5aefd23dbe6d46dd84ab4ad451eab329904249b7acaa38e9a0c94a6bc7a,51,220,2808,200,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 14357 nodes",0.624199999999999,0.0268,-1.1199502385497797e-15,0.6242000000000001,0.6242000000000001,0,0,1,14357,5,"gomory 19: 19 too_dense; mir 18: 5 accepted, 13 too_dense",-4.2585791176643604e-16,-9.997499366496248e-17,0.0000,60.758161,59.999959565,58a8374,Linux-x86_64,2026-09-25T16:05:22+00:00,gpu_batch_nodes=true gpu_batch_strong_branching=score gpu_batch_backend=cpu,1,0,0,0,,0.853600,58.354079,14,1,,
tr12-30,94f8cf2fd2fc920ed6ea2452b0755aeec110eb8404716554485c25e7a1e06a3d,750,1080,2508,360,feasible,"stopped at the time limit of 59.9997s after 60.01s, 0 iterations, 5601 nodes",196640.0,130595.9999999999,24907.057505584235,171732.94249441577,0.8733367702116343,0,0,1,5601,30,gomory 340: 340 accepted; mir 340: 340 accepted,18124.17451832871,22904.232068660192,0.0268,60.884518,60.009475941,58a8374,Linux-x86_64,2026-09-25T16:05:22+00:00,gpu_batch_nodes=true gpu_batch_strong_branching=score gpu_batch_backend=cpu,1,0,0,0,,14.636689,29.879207,2,1,,
neos-3627168-kasai,adf4a013825ad2932531128132c387eab68470ca087e23ea5cca4d2930954d7e,1655,1462,5158,535,feasible,"stopped at the time limit of 59.9995s after 60.02s, 0 iterations, 371 nodes",993704.9799999996,988585.6199999998,946707.7355555524,46997.24444444722,0.04729496720892678,0,0,1,371,30,"gomory 176: 103 accepted, 49 too_dense, 24 coefficient_ratio; mir 280: 280 accepted",945808.0955555545,945808.0955555526,0.0000,60.708501,60.021759355,58a8374,Linux-x86_64,2026-09-25T16:05:22+00:00,gpu_batch_nodes=true gpu_batch_strong_branching=score gpu_batch_backend=cpu,1,0,0,0,,18.083322,18.745072,2,1,,
csched007,7d9ffe638f906498f432519c66db4570704070afdb88435a4bb75e5641f09973,351,1758,6379,1457,time_limit,"stopped at the time limit of 59.9991s after 60.01s, 0 iterations, 353 nodes; no feasible point had been found when the limit stopped the search, so none is reported (the objective is the worst representable value, not a solution)",inf,350.9999999999955,288.22394381339524,inf,inf,0,0,,353,30,"gomory 10: 7 accepted, 1 too_dense, 2 duplicate; mir 66: 60 accepted, 6 duplicate",269.2515873015853,280.4162422619635,,61.062413,60.008988805,58a8374,Linux-x86_64,2026-09-25T16:05:22+00:00,gpu_batch_nodes=true gpu_batch_strong_branching=score gpu_batch_backend=cpu,1,0,0,0,,,60.008989,0,0,,
