instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,cut_filter,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads,restarts,reduced_cost_fixings,seed,permuted_sha256,time_to_first_feasible,primal_integral,incumbents,incumbent_trace_recorded,certificate,certificate_check_seconds
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 173436 nodes",4.000000000000076,1.0,0.0,4.000000000000076,1.0,0,0,1,173436,0,gomory 4: 4 too_dense; mir 8: 8 too_dense,0.0,0.0,0.0000,60.862741,60.000592953,58a8374,Linux-x86_64,2026-09-25T15:04:25+00:00,gpu_batch_strong_branching=filter,1,0,0,0,,0.001398,46.520654,13,1,,
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 103321 nodes",14.000000000000085,11.0,5.025090086370695,8.97490991362939,0.6410649938306667,0,0,1,103321,0,gomory 15: 15 too_dense,0.0,0.0,0.0000,60.714049,60.001247041,58a8374,Linux-x86_64,2026-09-25T15:04:25+00:00,gpu_batch_strong_branching=filter,1,0,0,0,,0.929043,21.198540,8,1,,
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 73184 nodes",1106772.99999961,764771.99999978,244503.66666661,862269.3333330001,0.7790841783575349,0,0,1,73184,30,"gomory 129: 129 accepted; mir 256: 246 accepted, 10 duplicate",28693.99999999998,193698.6451612903,0.1531,60.769223,60.000343056,58a8374,Linux-x86_64,2026-09-25T15:04:25+00:00,gpu_batch_strong_branching=filter,1,0,0,0,,10.718317,26.042172,4,1,,
mas76,91f624659e181538020e0c627910f02ffa6b355d6df708ef324e697a69485a74,12,151,1640,150,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 107218 nodes",41158.97792999999,40005.05398999999,39525.464089959896,1633.5138400400901,0.039687910686660985,0,0,1,107218,0,gomory 11: 11 too_dense,38893.90364052266,38893.90364052266,0.0000,60.767570,60.000267102,58a8374,Linux-x86_64,2026-09-25T15:04:25+00:00,gpu_batch_strong_branching=filter,1,0,0,0,,0.895237,3.505465,12,1,,
neos-3754480-nidda,63f322dd9be49acf31f7579d8f04e3bb578bdd7ca7d3525683384190c9a8bf7f,402,253,1488,50,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 45934 nodes",14727.738240696295,12941.73838561778,-440167.3148525438,454895.05309324013,30.886959399933883,0,0,1,45934,0,gomory 41: 41 too_dense,-1216923.270104403,-1216923.270104403,0.0000,60.778581,60.001490444,58a8374,Linux-x86_64,2026-09-25T15:04:25+00:00,gpu_batch_strong_branching=filter,1,0,0,0,,1.409560,9.683429,11,1,,
glass4,0d6e6ceaf921e5d5489b9926fdfed2ce0aa25fd9acfa9deb6794669b56b59591,396,322,1815,302,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 33841 nodes",2866697000.000045,1200012599.972384,800004050.0,2066692950.0000448,0.7209317726986886,0,0,1,33841,30,"gomory 72: 36 accepted, 36 duplicate; mir 71: 35 accepted, 36 duplicate",800002400.0,800002400.0,0.0000,60.830799,60.000562882,58a8374,Linux-x86_64,2026-09-25T15:04:25+00:00,gpu_batch_strong_branching=filter,1,0,0,0,,8.645003,39.966666,5,1,,
mad,0109c5aefd23dbe6d46dd84ab4ad451eab329904249b7acaa38e9a0c94a6bc7a,51,220,2808,200,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 29379 nodes",0.6035999999999994,0.0268,-1.4668501227072871e-15,0.6036000000000008,0.6036000000000008,0,0,1,29379,5,"gomory 19: 19 too_dense; mir 18: 5 accepted, 13 too_dense",-4.2585791176643604e-16,-9.997499366496248e-17,0.0000,60.856275,60.000773953,58a8374,Linux-x86_64,2026-09-25T15:04:25+00:00,gpu_batch_strong_branching=filter,1,0,0,0,,1.103599,58.599188,17,1,,
tr12-30,94f8cf2fd2fc920ed6ea2452b0755aeec110eb8404716554485c25e7a1e06a3d,750,1080,2508,360,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 30852 nodes",186105.0,130595.9999999999,27253.338161767453,158851.66183823254,0.853559344661522,0,0,1,30852,30,gomory 340: 340 accepted; mir 340: 340 accepted,18124.17451832871,22904.232068660192,0.0285,60.803577,60.000177582,58a8374,Linux-x86_64,2026-09-25T15:04:25+00:00,gpu_batch_strong_branching=filter,1,0,0,0,,10.234442,25.369442,12,1,,
neos-3627168-kasai,adf4a013825ad2932531128132c387eab68470ca087e23ea5cca4d2930954d7e,1655,1462,5158,535,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 2448 nodes",990055.3399999995,988585.6199999998,951055.14820513,39000.19179486949,0.03939193115696897,0,0,1,2448,30,"gomory 176: 103 accepted, 49 too_dense, 24 coefficient_ratio; mir 280: 280 accepted",945808.0955555545,945808.0955555526,0.0000,60.698975,60.003382902,58a8374,Linux-x86_64,2026-09-25T15:04:25+00:00,gpu_batch_strong_branching=filter,1,0,0,0,,8.625075,8.806328,5,1,,
csched007,7d9ffe638f906498f432519c66db4570704070afdb88435a4bb75e5641f09973,351,1758,6379,1457,time_limit,"stopped at the time limit of 59.9991s after 60.03s, 0 iterations, 610 nodes; no feasible point had been found when the limit stopped the search, so none is reported (the objective is the worst representable value, not a solution)",inf,350.9999999999955,287.7930869546011,inf,inf,0,0,,610,30,"gomory 10: 7 accepted, 1 too_dense, 2 duplicate; mir 66: 60 accepted, 6 duplicate",269.2515873015853,280.4162422619635,,60.786933,60.026539774,58a8374,Linux-x86_64,2026-09-25T15:04:25+00:00,gpu_batch_strong_branching=filter,1,0,0,0,,,60.026540,0,0,,
