instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,cut_filter,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads,restarts,reduced_cost_fixings,seed,permuted_sha256,time_to_first_feasible,primal_integral,incumbents,incumbent_trace_recorded,certificate,certificate_check_seconds
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 160741 nodes",8.0,1.0,0.0,8.0,1.0,0,0,1,160741,0,gomory 4: 4 too_dense; mir 8: 8 too_dense,0.0,0.0,0.0000,60.843463,60.000478516,58a8374,Linux-x86_64,2026-09-25T15:24:43+00:00,gpu_batch_strong_branching=score,1,0,0,0,,0.001427,54.202454,9,1,,
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 81421 nodes",18.000000000000004,11.0,4.28861471681101,13.711385283188994,0.7617436268438329,0,0,1,81421,0,gomory 15: 15 too_dense,0.0,0.0,0.0000,60.777018,60.000243594,58a8374,Linux-x86_64,2026-09-25T15:24:43+00:00,gpu_batch_strong_branching=score,1,0,0,0,,0.816669,29.715649,16,1,,
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 74919 nodes",1129327.99999961,764771.99999978,253469.6881719397,875858.3118276703,0.7755570674135174,0,0,1,74919,30,"gomory 129: 129 accepted; mir 256: 246 accepted, 10 duplicate",28693.99999999998,193698.6451612903,0.1499,60.835401,60.00045802,58a8374,Linux-x86_64,2026-09-25T15:24:43+00:00,gpu_batch_strong_branching=score,1,0,0,0,,8.540481,25.967532,5,1,,
mas76,91f624659e181538020e0c627910f02ffa6b355d6df708ef324e697a69485a74,12,151,1640,150,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 106224 nodes",42156.141700000015,40005.05398999999,39569.289626302,2586.8520736980136,0.061363587116370584,0,0,1,106224,0,gomory 11: 11 too_dense,38893.90364052266,38893.90364052266,0.0000,60.817847,60.000487736,58a8374,Linux-x86_64,2026-09-25T15:24:43+00:00,gpu_batch_strong_branching=score,1,0,0,0,,0.724338,4.456971,11,1,,
neos-3754480-nidda,63f322dd9be49acf31f7579d8f04e3bb578bdd7ca7d3525683384190c9a8bf7f,402,253,1488,50,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 1904 nodes",15638.672746083264,12941.73838561778,-764395.9024720677,780034.575218151,49.87856628776327,0,0,1,1904,0,gomory 41: 41 too_dense,-1216923.270104403,-1216923.270104403,0.0000,60.741561,60.003506724,58a8374,Linux-x86_64,2026-09-25T15:24:43+00:00,gpu_batch_strong_branching=score,1,0,0,0,,1.165663,11.799950,5,1,,
glass4,0d6e6ceaf921e5d5489b9926fdfed2ce0aa25fd9acfa9deb6794669b56b59591,396,322,1815,302,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 11036 nodes",3200029550.0000277,1200012599.972384,800003700.0,2400025850.0000277,0.750001152333111,0,0,1,11036,30,"gomory 72: 36 accepted, 36 duplicate; mir 71: 35 accepted, 36 duplicate",800002400.0,800002400.0,0.0000,60.695376,60.002895464,58a8374,Linux-x86_64,2026-09-25T15:24:43+00:00,gpu_batch_strong_branching=score,1,0,0,0,,34.369520,50.406064,3,1,,
mad,0109c5aefd23dbe6d46dd84ab4ad451eab329904249b7acaa38e9a0c94a6bc7a,51,220,2808,200,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 23550 nodes",0.7151999999999998,0.0268,-9.794598702659837e-16,0.7152000000000008,0.7152000000000008,0,0,1,23550,5,"gomory 19: 19 too_dense; mir 18: 5 accepted, 13 too_dense",-4.2585791176643604e-16,-9.997499366496248e-17,0.0000,60.715762,60.00066293,58a8374,Linux-x86_64,2026-09-25T15:24:43+00:00,gpu_batch_strong_branching=score,1,0,0,0,,1.307717,58.730385,14,1,,
tr12-30,94f8cf2fd2fc920ed6ea2452b0755aeec110eb8404716554485c25e7a1e06a3d,750,1080,2508,360,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 36561 nodes",195491.0,130595.9999999999,27271.39024828505,168219.60975171495,0.8604979756189028,0,0,1,36561,30,gomory 340: 340 accepted; mir 340: 340 accepted,18124.17451832871,22904.232068660192,0.0270,60.960935,60.001044063,58a8374,Linux-x86_64,2026-09-25T15:24:43+00:00,gpu_batch_strong_branching=score,1,0,0,0,,5.155100,23.470806,5,1,,
neos-3627168-kasai,adf4a013825ad2932531128132c387eab68470ca087e23ea5cca4d2930954d7e,1655,1462,5158,535,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 1562 nodes",991055.34,988585.6199999998,958687.8844444443,32367.455555555644,0.0326595844340596,0,0,1,1562,30,"gomory 176: 103 accepted, 49 too_dense, 24 coefficient_ratio; mir 280: 280 accepted",945808.0955555545,945808.0955555526,0.0000,60.679112,60.004303717,58a8374,Linux-x86_64,2026-09-25T15:24:43+00:00,gpu_batch_strong_branching=score,1,0,0,0,,4.976317,5.282134,4,1,,
csched007,7d9ffe638f906498f432519c66db4570704070afdb88435a4bb75e5641f09973,351,1758,6379,1457,time_limit,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 1077 nodes; no feasible point had been found when the limit stopped the search, so none is reported (the objective is the worst representable value, not a solution)",inf,350.9999999999955,290.81326735530456,inf,inf,0,0,,1077,30,"gomory 10: 7 accepted, 1 too_dense, 2 duplicate; mir 66: 60 accepted, 6 duplicate",269.2515873015853,280.4162422619635,,60.698927,60.000094761,58a8374,Linux-x86_64,2026-09-25T15:24:43+00:00,gpu_batch_strong_branching=score,1,0,0,0,,,60.000095,0,0,,
