instance,sha256,rows,cols,nnz,config,budget,tolerance,status,objective,reference_objective,absolute_gap,relative_gap,iterations,step_attempts,us_per_step,host_evaluation_seconds,solve_seconds,wall_seconds,algorithm,transport,git_commit,machine,timestamp_utc
kkt_250000_8_295,118f2e823aba39d9b6e9b4f69396684da82bd50aaaeb1761e40bc65e0a234bb7,,,,single-engine,steps,,iteration_limit,-199941.4071952553,-199941.0,0.4071952553058509,2.0365770667639497e-06,2000,,1532.4,,3.064838692,7.733,pdhg-cuda,,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:22:51Z
kkt_250000_8_295,118f2e823aba39d9b6e9b4f69396684da82bd50aaaeb1761e40bc65e0a234bb7,,,,partitioned-1,steps,,iteration_limit,-199941.40822450168,-199941.0,0.408224501676159,2.0417248172018695e-06,2000,2033,301.8,1.568,3.89680004,8.592,pdhg-cuda-multi,peer-to-peer,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:23:00Z
kkt_250000_8_295,118f2e823aba39d9b6e9b4f69396684da82bd50aaaeb1761e40bc65e0a234bb7,,,,partitioned-2,steps,,iteration_limit,-199941.4109913672,-199941.0,0.41099136718548834,2.05556322707943e-06,2000,2031,281.8,1.593,4.033234973,8.072,pdhg-cuda-multi,peer-to-peer,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:23:08Z
kkt_250000_8_295,118f2e823aba39d9b6e9b4f69396684da82bd50aaaeb1761e40bc65e0a234bb7,,,,partitioned-2-host,steps,,iteration_limit,-199941.4109913672,-199941.0,0.41099136718548834,2.05556322707943e-06,2000,2031,561.7,1.581,5.919624766,10.581,pdhg-cuda-multi,host-staged,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:23:18Z
kkt_1000000_8_295,3c3868f7927befad52bfd91fe5d2d610bf7037520241ceb1846d4fee6cc78100,,,,single-engine,steps,,iteration_limit,-441902.3459507352,-441902.0,0.34595073520904407,7.828675480288482e-07,2000,,7589.2,,15.178445209,30.715,pdhg-cuda,,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:23:49Z
kkt_1000000_8_295,3c3868f7927befad52bfd91fe5d2d610bf7037520241ceb1846d4fee6cc78100,,,,partitioned-1,steps,,iteration_limit,-441902.331558686,-441902.0,0.33155868598259985,7.50299129631909e-07,2000,2040,780.2,7.857,14.744972242,30.121,pdhg-cuda-multi,peer-to-peer,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:24:20Z
kkt_1000000_8_295,3c3868f7927befad52bfd91fe5d2d610bf7037520241ceb1846d4fee6cc78100,,,,partitioned-2,steps,,iteration_limit,-441902.39116972947,-441902.0,0.39116972946794704,8.851956530360737e-07,2000,2040,658.6,7.320,14.804839477,29.838,pdhg-cuda-multi,peer-to-peer,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:24:49Z
kkt_1000000_8_295,3c3868f7927befad52bfd91fe5d2d610bf7037520241ceb1846d4fee6cc78100,,,,partitioned-2-host,steps,,iteration_limit,-441902.39116972947,-441902.0,0.39116972946794704,8.851956530360737e-07,2000,2040,1844.8,7.319,18.013142631,33.245,pdhg-cuda-multi,host-staged,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:25:23Z
kkt_4000000_8_295,ee8ab7e7b30965eb3e5195425216ad281f99a9bfe2bdbea6e28fd2c1cc91474f,,,,single-engine,steps,,iteration_limit,1112080.8368888919,1112082.0,1.1631111081223935,1.0458861020341966e-06,2000,,53819.2,,107.638338313,170.055,pdhg-cuda,,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:28:14Z
kkt_4000000_8_295,ee8ab7e7b30965eb3e5195425216ad281f99a9bfe2bdbea6e28fd2c1cc91474f,,,,partitioned-1,steps,,iteration_limit,1112080.8190282702,1112082.0,1.1809717298019677,1.0619466278583482e-06,2000,2061,4465.8,56.161,108.389042159,170.594,pdhg-cuda-multi,peer-to-peer,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:31:04Z
kkt_4000000_8_295,ee8ab7e7b30965eb3e5195425216ad281f99a9bfe2bdbea6e28fd2c1cc91474f,,,,partitioned-2,steps,,iteration_limit,1112080.7759426984,1112082.0,1.2240573016460985,1.100689788744084e-06,2000,2059,2722.3,57.949,106.526108326,168.828,pdhg-cuda-multi,peer-to-peer,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:33:53Z
kkt_4000000_8_295,ee8ab7e7b30965eb3e5195425216ad281f99a9bfe2bdbea6e28fd2c1cc91474f,,,,partitioned-2-host,steps,,iteration_limit,1112080.7759426984,1112082.0,1.2240573016460985,1.100689788744084e-06,2000,2059,7919.3,56.970,115.886434061,177.855,pdhg-cuda-multi,host-staged,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:36:51Z
Linf_520c,4619a16debadb4eabdcb4d087ef6f3a05a137121bfec6739e324295c84dda871,,,,single-engine,steps,,iteration_limit,23.402447060560938,,,,2000,,764.5,,1.528970668,3.239,pdhg-cuda,,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:36:54Z
Linf_520c,4619a16debadb4eabdcb4d087ef6f3a05a137121bfec6739e324295c84dda871,,,,partitioned-1,steps,,iteration_limit,23.396589822828595,,,,2000,2000,143.2,0.415,1.259586643,2.617,pdhg-cuda-multi,peer-to-peer,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:36:57Z
Linf_520c,4619a16debadb4eabdcb4d087ef6f3a05a137121bfec6739e324295c84dda871,,,,partitioned-2,steps,,iteration_limit,23.400393543752813,,,,2000,2000,167.7,0.415,1.910138542,3.656,pdhg-cuda-multi,peer-to-peer,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:37:01Z
Linf_520c,4619a16debadb4eabdcb4d087ef6f3a05a137121bfec6739e324295c84dda871,,,,partitioned-2-host,steps,,iteration_limit,23.400393543752813,,,,2000,2000,238.7,0.419,1.547371667,2.883,pdhg-cuda-multi,host-staged,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:37:04Z
bdry2,64b4bedc185ed7105c3260741026b152ea120ea0ae1f7678bf1bbf426825a6bf,,,,single-engine,steps,,iteration_limit,0.001999996546348513,,,,2000,,1623.4,,3.246786156,6.752,pdhg-cuda,,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:37:10Z
bdry2,64b4bedc185ed7105c3260741026b152ea120ea0ae1f7678bf1bbf426825a6bf,,,,partitioned-1,steps,,iteration_limit,0.0019999965463485133,,,,2000,2000,260.3,1.134,2.468190109,6.532,pdhg-cuda-multi,peer-to-peer,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:37:17Z
bdry2,64b4bedc185ed7105c3260741026b152ea120ea0ae1f7678bf1bbf426825a6bf,,,,partitioned-2,steps,,iteration_limit,0.001999996546348513,,,,2000,2000,592.2,1.152,4.256273472,7.284,pdhg-cuda-multi,peer-to-peer,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:37:24Z
bdry2,64b4bedc185ed7105c3260741026b152ea120ea0ae1f7678bf1bbf426825a6bf,,,,partitioned-2-host,steps,,iteration_limit,0.001999996546348513,,,,2000,2000,830.5,1.134,3.764644477,6.511,pdhg-cuda-multi,host-staged,58a8374,e2e-2xA100-SXM4-40GB-NV12,2026-09-25T12:37:31Z
