instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
25fv47,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,821,1571,10400,optimal,,5501.845888286749,5501.8458883,1.3251337804831564e-08,2.408525806404595e-12,1,1,,1,0.0,0,1.139382,1.1083089,4107,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
80bau3b,22aef70f5ce164435b15c5c0aa3be93a99932dc136eb936eb17835a661087b9f,2262,9799,21002,optimal,,987224.1924090909,987232.16072,7.968310909112915,8.071364797619166e-06,0,1,,0,0.0,0,0.468707,0.4045752,3868,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,optimal,,225494.96316238042,225494.96316,2.3804022930562496e-06,1.055634351959886e-11,1,1,,1,0.0,0,0.017193,0.0013322,100,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,optimal,,-464.75314285714285,-464.75314286,2.857177605619654e-09,6.147731649617561e-12,1,1,,1,0.0,0,0.014736,0.0005013,13,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
agg,d7844795d0c799f5cdc1416c8d242f5e8f351f5a3271f42a2d428f170abf1f03,488,163,2410,optimal,,-35991767.2865765,-35991767.287,0.0004234984517097473,1.1766536728601052e-11,1,1,,1,0.0,0,0.021511,0.0047208,150,simplex-dual+primal,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
agg2,0515e9b78a802f9473578b23a7a60075554fc39ea7b5796fb41530cd760e4534,516,302,4284,optimal,,-20239252.355977118,-20239252.356,2.2880733013153076e-05,1.130512758608398e-12,1,1,,1,0.0,0,0.031123,0.0053558,159,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
agg3,1a6e78a0b7d210c935c97527ce49449d0655f9605fcbc33bfdfc93952f3b12d1,516,302,4300,optimal,,10312115.935089227,10312115.935,8.922629058361053e-05,8.652568604351182e-12,1,1,,1,0.0,0,0.02567,0.0056111,164,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
bandm,696daa77a79a0715c2fad877285e49bd7fcd7f5513f3cb83fbe0be916b6d8c81,305,472,2494,optimal,,-158.62801845012086,-158.62801845,1.2084910849807784e-10,7.61839614961652e-13,1,1,,1,0.0,0,0.028115,0.0119791,484,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
beaconfd,7138e7b58b1d6160f1ad42112a61ed00b5db1c92d73dc48d77f6a26fc717dbfc,173,262,3375,optimal,,33592.485807200006,33592.485807,2.000087988562882e-07,5.953974350258128e-12,1,1,,1,0.0,0,0.019251,0.0027125,115,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,optimal,,-30.812149845828223,-30.812149846,1.7177725908368302e-10,5.574984541560087e-12,1,1,,1,0.0,0,0.017384,0.0017074,99,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
bnl1,7a842adca058eaa3cb712b3bbae357602f22df6cc318c4d278f6600167fe2300,643,1175,5121,optimal,,1977.6295615228855,1977.6292856,0.0002759228855211404,1.3952204669007375e-07,1,1,,1,0.0,0,0.085947,0.0657426,1576,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
bnl2,eafd7e49005db1a020d420b3fbed2e124bebf46740c0b2550edcbaa17b07ad6b,2324,3489,13999,optimal,,1811.2365403585459,1811.2365404,4.145408638578374e-08,2.2887174292888808e-11,1,1,,1,0.0,0,0.224329,0.1913008,2279,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
boeing1,1d9d58afaf41bad6866d5355330b261d3776ca86753d121eb9b688ee6128ab9e,351,384,3485,optimal,,-335.213567507127,-335.21356751,2.8730369194818195e-09,8.570765619133575e-12,1,1,,1,0.0,0,0.02498,0.0083786,357,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
boeing2,e12e729b8c09bf6e6934af40b728e460d4eb360c42419b791b68fb2271ddd61a,166,143,1196,optimal,,-315.0187280152028,-315.01872802,4.797243491339032e-09,1.522843902485208e-11,1,1,,1,0.0,0,0.019502,0.0021849,122,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
bore3d,c7cfe0d4abd466346e3cda4e16d00651f44f3ce1da317cf583c5fed5dfc0515a,233,315,1429,optimal,,1373.080394208493,1373.0803942,8.493088898831047e-09,6.185427258816399e-12,1,1,,1,0.0,0,0.023705,0.0032238,161,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
brandy,56fa020b84a0a106b7883b7da006c2852449598898c41ec8dd2575151d0e0917,220,249,2148,optimal,,1518.509896488128,1518.5098965,1.1871861715917476e-08,7.818099666838409e-12,1,1,,1,0.0,0,0.025101,0.0068132,269,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
capri,4932bc8861fcdaf19256827b7ee229941fa6f2e84f2044b65300326c226fba78,271,353,1767,optimal,,2690.0129137681615,2690.0129138,3.18386810249649e-08,1.1835884081310426e-11,1,1,,1,0.0,0,0.019981,0.0042596,235,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
cycle,bfc8edde30952b8dfa354679ea3a3231c2e7eb762c0ff8f0f845505741816d53,1903,2857,20720,optimal,,-5.226393024894101,-5.2263930249,5.899281063648232e-12,1.1287480745405875e-12,1,1,,1,0.0,0,0.062504,0.026408,339,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
czprob,b1f30bd25705fcc3c4f195d7e627e437788035f81fae9198e3096471b947f704,929,3523,10669,optimal,,2185196.698856578,2185196.6989,4.342198371887207e-05,1.98709725951582e-11,1,1,,1,0.0,0,0.088643,0.0627896,991,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
d2q06c,fb1516a10aba6a4101cea6cec90c1da775ac60d2d2cd96e902bbe21a430790c9,2171,5167,32417,optimal,,122784.21081418934,122784.23615,0.02533581065654289,2.0634416478016988e-07,1,1,,1,0.0,0,3.752484,3.7064682,14357,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
d6cube,8cd94ee7783bcbce884acde1f4769f5c79739c9460fe73cb948924e724b02dfa,415,6184,37704,optimal,,315.49166666666713,315.49166667,3.3328433346468955e-09,1.0563966300044954e-11,1,1,,1,0.0,0,0.297929,0.2545727,868,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
degen2,755cf6ca5f3a8ed1b8b68372e8d2d3b5efee784ee69b1dada923c6ff04ee0edb,444,534,3978,optimal,,-1435.178,-1435.178,0.0,0.0,1,1,,1,0.0,0,0.041513,0.0242728,649,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
degen3,08d600688c524fea548e946af5551ef8c359c7a7e71b8841acc839b00eefadeb,1503,1818,24646,optimal,,-987.2940000000001,-987.294,1.1368683772161603e-13,1.151499327673581e-16,1,1,,1,0.0,0,0.384885,0.3532442,2930,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
dfl001,85d47c5f8a5fc53772eabac1805b7a1af72431cad9e14d26d673043980952730,6071,12230,35632,optimal,,11266396.046671392,11266400.0,3.9533286076039076,3.508954597390389e-07,1,1,,1,0.0,0,50.638531,50.5848351,72217,simplex-dual+primal,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
e226,ddf56486daea52c8592b520aeb83d329223a1b45a3e5a269bd663ef9195bd8d8,223,282,2578,optimal,,-11.638929066370537,-18.751929066,7.112999999629462,0.3793209741032124,0,1,,0,7.113,1,0.031198,0.0117855,508,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
etamacro,41701e1add7af2ed2b21a421ab7271bc867e6bc7ad98ac189748d6522e7d4926,400,688,2409,optimal,,-755.7152333749134,-755.71521774,1.5634913438589138e-05,2.0688895858609337e-08,1,1,,1,0.0,0,0.038669,0.0214497,795,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
fffff800,9d6695686c15d5f1b4f43b2ce8830c1d38df3a204717d8875f144aa21b33901e,524,854,6227,optimal,,555679.5648174962,555679.61165,0.046832503750920296,8.427968701579461e-08,1,1,,1,0.0,0,0.047037,0.02534,797,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
finnis,891821f24a8cd14af78b95bb460a56f0e0b5410a59ad01ab58d9daf3387e7546,497,614,2310,optimal,,172791.06559561155,172790.96547,0.10012561155599542,5.794609184782827e-07,1,1,,1,0.0,0,0.031819,0.0102367,377,simplex-dual+primal,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
fit1d,59cee4fedd040a05c05d8410474ee014f42ef910e083689202be708491fe8717,24,1026,13404,optimal,,-9146.378092420928,-9146.3780924,2.092747308779508e-08,2.2880612277754342e-12,1,1,,1,0.0,0,0.03307,0.0088847,56,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
fit1p,416e77d83daf74dee5ec1d253b77f8e252ff3e27cd123459218b02ef2be0df17,627,1677,9868,optimal,,9146.378092420935,9146.3780924,2.0934749045409262e-08,2.288856729288785e-12,1,1,,1,0.0,0,0.086208,0.0621529,1092,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
fit2d,1c16c328c0358ab175596bdd6b9a2c5d1cb4bb53b099d5d1f2a208a889c7bafc,25,10500,129018,optimal,"crossover push: 7 superbasic, 4 pivots in the push; crossover: 11 pivots from the interior point's basis guess in 0.01s, after 21 interior point iterations",-68464.2932938321,-68464.293294,1.6789999790489674e-07,2.4523731981559937e-12,1,1,,1,0.0,0,0.229816,0.1428622,32,ipm+crossover,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
fit2p,0f44de8ea974ed4cc04fb60ccd2707c2f887dc65f8b6b9bd1e9f01bb59dd4a4f,3000,13525,50284,optimal,,68464.29329383219,68464.293232,6.183219375088811e-05,9.031305346476276e-10,1,1,,1,0.0,0,3.247922,3.1659789,10150,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
forplan,65ec816c0b3c58ec4d61574df130a3ce464abb42f3d49de21710a787bf3cfdc7,161,421,4563,optimal,,-664.2189612722053,-664.21873953,0.00022174220532633626,3.3383912878344967e-07,1,1,,1,0.0,0,0.028861,0.0087163,322,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
ganges,f655f33ba979a59d659a8605acaf480c2fe5c610f3a50921bbcac7be40546067,1309,1681,6912,optimal,,-109585.73612927822,-109586.36356,0.62743072178273,5.725445223293711e-06,0,1,,0,0.0,0,0.056424,0.031872,1092,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
gfrd-pnc,d66ea78a803e91e4f38dcd74ca4c575aa742e27e7120c1c3494d4d424ee5c936,616,1092,2377,optimal,,6902235.999548811,6902235.9995,4.8811547458171844e-05,7.071845625346303e-12,1,1,,1,0.0,0,0.033561,0.0133063,448,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
greenbea,cb701e3ba5153e385b8cb6426e34b5d23bad4b1b9c9a037802e351c24b0f653d,2392,5405,30877,optimal,route: the scaled attempt returned optimal after 1.2 s of its 60 s share; the unscaled retry produced this answer,-72555248.12984599,-72462405.908,92842.22184598446,0.001281246746952608,0,1,,0,0.0,0,12.106664,12.0627908,41768,simplex-dual+primal,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
greenbeb,21f92f6a32f71ec72c8f693d6685e4a91ecb2debec732ec61302bc866f370865,2392,5405,30877,optimal,,-4302260.261206586,-4302147.6065,112.65470658615232,2.6185690703858075e-05,0,1,,0,0.0,0,1.666958,1.6206051,10256,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
grow15,ab84e2f83d00c5bd26291e0505f23804b050bc96dc1e576d9da8f04e1f6ed51f,300,645,5620,optimal,,-106870941.29357535,-106870941.29,0.003575339913368225,3.345474335878028e-11,1,1,,1,0.0,0,0.153572,0.1320733,3782,simplex-dual+primal,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
grow22,671111a1623539730f4caa9366c7eda43fb472137773cd9444dc96ed87f9810e,440,946,8252,optimal,,-160834336.482563,-160834336.48,0.002562999725341797,1.5935650194077246e-11,1,1,,1,0.0,0,0.362488,0.3360782,7041,simplex-dual+primal,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
grow7,6b8734ffdf991a36f17cfddf306834a4a3ced3e17964cac9fa2983a043906cd4,140,301,2612,optimal,,-47787811.81471151,-47787811.815,0.0002884864807128906,6.03682130978716e-12,1,1,,1,0.0,0,0.046063,0.0270045,1144,simplex-dual+primal,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,optimal,,-896644.821863046,-896644.82186,3.0460068956017494e-06,3.3971164739267804e-12,1,1,,1,0.0,0,0.02346,0.0052416,169,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
kb2,f0eb647d1d9aac84f49d88662b6b02c6cecc04496e5435be733eced36d7f48f2,43,41,286,optimal,,-1749.9001299062058,-1749.9001299,6.205937097547576e-09,3.5464521611883195e-12,1,1,,1,0.0,0,0.017426,0.0008946,51,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
lotfi,fcb90a1b5e02b2eae67adacd0937a073d420ca92ac6af514ee13a348d7f31623,153,308,1078,optimal,,-25.264706061880016,-25.264706062,1.1998224636045052e-10,4.74900622496902e-12,1,1,,1,0.0,0,0.020091,0.0042741,248,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
maros,4910e97a363fca07d2fb72838fa26629329a9a8dcd6a4da186f560424bd67077,846,1443,9614,optimal,,-58063.74370112591,-58063.743701,1.2591044651344419e-07,2.1684865371723474e-12,1,1,,1,0.0,0,0.146744,0.1230934,2014,simplex-dual+primal,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
maros-r7,e97f59ab32a8280526c26c210aacabd6e0c05300e67a0d4afd00b95d245f8db7,3136,9408,144848,optimal,"; crossover did not reach a vertex (not_solved after 0 pivots, 0.01s), the interior point's answer stands",1497185.1664813687,1497185.1665,1.86313409358263e-05,1.2444246278088076e-11,1,1,,1,0.0,0,6.94763,6.7921069,28,ipm,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
