instance,instance_sha256,rows,cols,nnz,engine,two_matvec,iterations_requested,iterations,status,objective,reference_objective,absolute_gap,relative_gap,solver_seconds,wall_seconds,short_iterations,short_solver_seconds,seconds_per_iteration,ratio_to_three_products,repeats,algorithm_ran,solver_options,git_commit,machine,gpu,timestamp_utc
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,cuda,false,10000,1240,optimal,-464.7531428571419,-464.75314286,2.858143943740288e-09,6.149810899936746e-12,0.180717,0.416112,1240,0.190524,,,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,cuda,true,10000,1240,optimal,-464.75314285714535,-464.75314286,2.8546764951897785e-09,6.142350060556142e-12,0.177485,0.431829,1240,0.170931,,,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,cuda,false,10000,10000,iteration_limit,-64.57508080694008,-64.575077059,3.7479400845086275e-06,5.804004044910803e-08,0.579525,0.765122,2000,0.270942,4.047336e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,cuda,true,10000,10000,iteration_limit,-64.57507703192671,-64.575077059,2.7073284059042635e-08,4.192528339425243e-10,0.497779,0.661059,2000,0.324943,2.213137e-05,0.5468,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,cuda,false,10000,10000,iteration_limit,-70.00000157677951,-70.0,1.5767795105148252e-06,2.2525421578783218e-08,0.719853,0.95622,2000,0.214501,6.316904e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,cuda,true,10000,10000,iteration_limit,-69.99999014717594,-70.0,9.852824064182641e-06,1.4075462948832344e-07,0.602381,0.895017,2000,0.198394,5.081829e-05,0.8045,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,cuda,false,10000,10000,iteration_limit,225495.360206081,225494.96316,0.3970460809941869,1.760775830334014e-06,0.653707,0.838216,2000,0.256984,4.959034e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,cuda,true,10000,10000,iteration_limit,225497.9207107016,225494.96316,2.9575507015979383,1.3115817134679887e-05,0.594179,0.773972,2000,0.198455,4.946974e-05,0.9976,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,cuda,false,10000,10000,iteration_limit,-30.812314685633833,-30.812149846,0.0001648396338325142,5.349825788086433e-06,0.607982,0.852036,2000,0.218846,4.912813e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,cuda,true,10000,10000,iteration_limit,-30.812028794647134,-30.812149846,0.00012105135286688551,3.928688957826818e-06,0.508275,0.726377,2000,0.213605,3.683365e-05,0.7497,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
