instance,instance_sha256,rows,cols,nnz,engine,two_matvec,iterations_requested,iterations,status,objective,reference_objective,absolute_gap,relative_gap,solver_seconds,wall_seconds,short_iterations,short_solver_seconds,seconds_per_iteration,ratio_to_three_products,repeats,algorithm_ran,solver_options,git_commit,machine,gpu,timestamp_utc
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,cuda,false,10000,1280,optimal,-464.75314285714194,-464.75314286,2.858087100321427e-09,6.149688591094441e-12,0.227932,0.463544,1280,0.185791,,,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,cuda,true,10000,1240,optimal,-464.7531428571413,-464.75314286,2.858712377928896e-09,6.151033988359796e-12,0.176067,0.41398,1240,0.168587,,,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,cuda,false,10000,10000,iteration_limit,-64.57507439869768,-64.575077059,2.6603023144389226e-06,4.1197044364473575e-08,0.674653,0.888801,2000,0.224361,4.733753e-05,1.0000,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,cuda,true,10000,10000,iteration_limit,-64.57508026878975,-64.575077059,3.2097897531002673e-06,4.970632478173575e-08,0.539144,0.848991,2000,0.211704,4.219948e-05,0.8915,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,cuda,false,10000,10000,iteration_limit,-70.00002855449893,-70.0,2.855449892535944e-05,4.0792141321942056e-07,0.682024,0.897359,2000,0.222737,5.731251e-05,1.0000,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,cuda,true,10000,10000,iteration_limit,-69.99999693321205,-70.0,3.0667879542534138e-06,4.3811256489334484e-08,0.54058,0.824067,2000,0.220698,4.135027e-05,0.7215,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,cuda,false,10000,10000,iteration_limit,225498.19677259083,225494.96316,3.233612590818666,1.434006571811653e-05,0.609377,0.857584,2000,0.218841,4.727719e-05,1.0000,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,cuda,true,10000,10000,iteration_limit,225498.58811510846,225494.96316,3.624955108447466,1.6075548019559878e-05,0.552784,0.820556,2000,0.201481,4.366818e-05,0.9237,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,cuda,false,10000,10000,iteration_limit,-30.81212304486207,-30.812149846,2.6801137931187213e-05,8.698236917949595e-07,0.696122,0.927965,2000,0.209678,6.082771e-05,1.0000,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,cuda,true,10000,10000,iteration_limit,-30.812946354138017,-30.812149846,0.0007965081380163497,2.585045645945901e-05,0.672768,0.91035,2000,0.203142,5.870332e-05,0.9651,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
