instance,instance_sha256,rows,cols,nnz,engine,two_matvec,iterations_requested,iterations,status,objective,reference_objective,absolute_gap,relative_gap,solver_seconds,wall_seconds,short_iterations,short_solver_seconds,seconds_per_iteration,ratio_to_three_products,repeats,algorithm_ran,solver_options,git_commit,machine,gpu,timestamp_utc
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,cuda,false,10000,1366,optimal,-464.75314285714944,-464.75314286,2.8505837690318003e-09,6.1335438239101834e-12,0.232761,0.467552,1366,0.162005,,,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,cuda,true,10000,1303,optimal,-464.75314285714904,-464.75314286,2.850981672963826e-09,6.134399985806318e-12,0.213961,0.43768,1303,0.1558,,,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,cuda,false,10000,10012,iteration_limit,-64.57507269915135,-64.575077059,4.359848645663078e-06,6.751596504762412e-08,0.426803,0.607331,2012,0.18978,2.872248e-05,1.0000,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,cuda,true,10000,10011,iteration_limit,-64.57507960613843,-64.575077059,2.547138436170826e-06,3.9444605444970584e-08,0.385689,0.616708,2011,0.196404,2.364132e-05,0.8231,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,cuda,false,10000,10004,iteration_limit,-69.9999987679369,-70.0,1.2320630986550896e-06,1.7600901409358422e-08,0.423687,0.709015,2004,0.185809,2.937485e-05,1.0000,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,cuda,true,10000,10002,iteration_limit,-70.00000656760687,-70.0,6.567606874341436e-06,9.38229553477348e-08,0.442981,0.676108,2004,0.176421,3.332827e-05,1.1346,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,cuda,false,10000,10017,iteration_limit,225500.34312216472,225494.96316,5.379962164704921,2.3858458252513458e-05,0.430617,0.613533,2025,0.308906,1.522910e-05,1.0000,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,cuda,true,10000,10023,iteration_limit,225499.338968014,225494.96316,4.375808013981441,1.9405347031528085e-05,0.395561,0.594523,2023,0.180613,2.686850e-05,1.7643,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,cuda,false,10000,10016,iteration_limit,-30.81239770189619,-30.812149846,0.00024785589619114035,8.044096157844589e-06,0.424056,0.607757,2016,0.281774,1.778522e-05,1.0000,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,cuda,true,10000,10016,iteration_limit,-30.81179891325884,-30.812149846,0.0003509327411599372,1.1389427317272862e-05,0.393835,0.592073,2016,0.179099,2.745787e-05,1.5439,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,cuda,false,10000,10018,iteration_limit,-418.2519741091767,-415.73224074,2.519733369176663,0.0060609525128278675,0.433013,0.618756,2019,0.245749,2.336545e-05,1.0000,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,cuda,true,10000,10024,iteration_limit,-422.30449968063994,-415.73224074,6.5722589406399265,0.01580887479147963,0.408065,0.59834,2024,0.176634,2.892890e-05,1.2381,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,cuda,false,10000,10006,iteration_limit,-52.202277324096805,-52.202061212,0.00021611209680827415,4.139915010838598e-06,0.437738,0.637371,2006,0.183609,3.164241e-05,1.0000,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,cuda,true,10000,10009,iteration_limit,-52.202219581443735,-52.202061212,0.00015836944373859296,3.0337775953986207e-06,0.403905,0.592797,2009,0.186468,2.717954e-05,0.8590,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,cuda,false,10000,10023,iteration_limit,-41140.69338070672,-41131.976219,8.717161706721527,0.00021193150701800777,0.527994,0.716521,2014,0.188016,4.244943e-05,1.0000,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,cuda,true,10000,10014,iteration_limit,-41110.11338287254,-41131.976219,21.862836127453193,0.0005315289499110948,0.395197,0.577252,2010,0.218526,2.216096e-05,0.5221,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,cuda,false,10000,10023,iteration_limit,-896585.4288231783,-896644.82186,59.39303682174068,6.623920126872062e-05,0.557074,0.748041,2014,0.306969,2.984657e-05,1.0000,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,cuda,true,10000,10024,iteration_limit,-896616.4423203421,-896644.82186,28.379539657966234,3.1650815312908085e-05,0.483096,0.67199,2024,0.303598,2.065687e-05,0.6921,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
kkt_200x200,12407efbae3a0cb8eceebc1ae692d9ab2454ac3e5045012b104106ed10b54c1d,200,200,1000,cuda,false,10000,10015,iteration_limit,15284.999990816199,15285.0,9.18380101211369e-06,6.008374885255931e-10,0.509543,0.705907,2015,0.206085,3.235014e-05,1.0000,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
kkt_200x200,12407efbae3a0cb8eceebc1ae692d9ab2454ac3e5045012b104106ed10b54c1d,200,200,1000,cuda,true,10000,10015,iteration_limit,15285.000015970565,15285.0,1.5970565073075704e-05,1.0448521474043641e-09,0.426415,0.615303,2015,0.200131,2.802315e-05,0.8662,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
kkt_500x500,d91169d75e5d3233c7d0d44799d64173b1698078a5aee2a4408b088dc3cbc6cf,500,500,2500,cuda,false,10000,10014,iteration_limit,40596.000137917064,40596.0,0.00013791706442134455,3.397306740106034e-09,0.612213,0.904907,2014,0.239865,4.626458e-05,1.0000,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
kkt_500x500,d91169d75e5d3233c7d0d44799d64173b1698078a5aee2a4408b088dc3cbc6cf,500,500,2500,cuda,true,10000,10015,iteration_limit,40596.000014279474,40596.0,1.4279474271461368e-05,3.5174584371517804e-10,0.498234,0.845925,2015,0.199093,3.693543e-05,0.7984,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
kkt_1000x1000,bbddacd7757bec2f722e037d7a21f3018b276106281b192d56c7aa1565fcb419,1000,1000,5000,cuda,false,10000,5824,optimal,84140.00000000007,84140.0,7.275957614183426e-11,8.647441899433594e-16,0.389261,0.575461,2016,0.264003,3.289352e-05,1.0000,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
kkt_1000x1000,bbddacd7757bec2f722e037d7a21f3018b276106281b192d56c7aa1565fcb419,1000,1000,5000,cuda,true,10000,5440,optimal,84139.99999999983,84140.0,1.7462298274040222e-10,2.0753860558640625e-15,0.332942,0.584836,2016,0.206627,3.800431e-05,1.1554,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
kkt_2000x2000,a946a3fa35726ea3b9f8d49998899a93a70be06e08a111ef45c7eeb0a31181db,2000,2000,10000,cuda,false,10000,10015,iteration_limit,184420.0000301558,184420.0,3.0155788408592343e-05,1.635169092755251e-10,0.677179,0.919723,2015,0.229942,5.590466e-05,1.0000,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
kkt_2000x2000,a946a3fa35726ea3b9f8d49998899a93a70be06e08a111ef45c7eeb0a31181db,2000,2000,10000,cuda,true,10000,10013,iteration_limit,184419.99979704924,184420.0,0.00020295075955800712,1.1004812903047779e-09,0.525769,0.848932,2013,0.2172,4.011736e-05,0.7176,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
kkt_5000x5000,15c8f0b0588db28121e1c13bc6b50c4044839d7e389ad91cb7fad316825297f2,5000,5000,40000,cuda,false,10000,9405,optimal,718697.9999999985,718698.0,1.5133991837501526e-09,2.105751210870425e-15,0.627847,0.874144,2014,0.245426,5.174144e-05,1.0000,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
kkt_5000x5000,15c8f0b0588db28121e1c13bc6b50c4044839d7e389ad91cb7fad316825297f2,5000,5000,40000,cuda,true,10000,10014,iteration_limit,718698.0000000008,718698.0,8.149072527885437e-10,1.1338660366225364e-15,0.595829,0.816381,2014,0.227552,4.603460e-05,0.8897,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
kkt_10000x10000,481a1c95d83f9bbafe1ff06e0267d94ae2ed19f5231b70b3a4fb99668b117a0a,10000,10000,80000,cuda,false,10000,10013,iteration_limit,1355467.0000000151,1355467.0,1.5133991837501526e-08,1.1165149603421939e-14,0.834586,1.044863,2016,0.291221,6.794599e-05,1.0000,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
kkt_10000x10000,481a1c95d83f9bbafe1ff06e0267d94ae2ed19f5231b70b3a4fb99668b117a0a,10000,10000,80000,cuda,true,10000,10016,iteration_limit,1355466.9999999222,1355467.0,7.776543498039246e-08,5.737169180835273e-14,0.736884,1.038633,2016,0.267986,5.871434e-05,0.8641,3,pdhg-cuda,deterministic=true gpu_on_device_loop=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:33:36+00:00
