instance,rows,cols,nnz,threads,parallel_spmv,parallel_updates,iterations,status,objective,solver_seconds,wall_seconds,speedup_vs_one_thread,git_commit,machine,timestamp_utc
kkt_1000x1000,1000,1000,5000,1,0,0,2000,iteration_limit,84139.99998321479,0.048516,0.222212,,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_1000x1000,1000,1000,5000,1,1,1,2000,iteration_limit,84139.99998607422,0.053804,0.264670,1.000,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_1000x1000,1000,1000,5000,2,1,1,2000,iteration_limit,84139.99998607422,0.134071,0.318344,0.401,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_1000x1000,1000,1000,5000,4,1,1,2000,iteration_limit,84139.99998607422,0.162240,0.384794,0.332,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_1000x1000,1000,1000,5000,8,1,1,2000,iteration_limit,84139.99998607422,0.176939,0.339100,0.304,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_1000x1000,1000,1000,5000,16,1,1,2000,iteration_limit,84139.99998607422,0.183797,0.368828,0.293,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_2000x2000,2000,2000,10000,1,0,0,2000,iteration_limit,184420.0085526176,0.099422,0.245714,,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_2000x2000,2000,2000,10000,1,1,1,2000,iteration_limit,184420.00477549338,0.102335,0.268666,1.000,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_2000x2000,2000,2000,10000,2,1,1,2000,iteration_limit,184420.00477549338,0.165245,0.306840,0.619,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_2000x2000,2000,2000,10000,4,1,1,2000,iteration_limit,184420.00477549338,0.178515,0.400768,0.573,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_2000x2000,2000,2000,10000,8,1,1,2000,iteration_limit,184420.00477549338,0.203950,0.377339,0.502,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_2000x2000,2000,2000,10000,16,1,1,2000,iteration_limit,184420.00477549338,0.230116,0.460457,0.445,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_5000x5000,5000,5000,40000,1,0,0,2000,iteration_limit,718698.0032310564,0.319647,0.544278,,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_5000x5000,5000,5000,40000,1,1,1,2000,iteration_limit,718697.9989021957,0.329683,0.594440,1.000,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_5000x5000,5000,5000,40000,2,1,1,2000,iteration_limit,718697.9989021957,0.483225,0.674170,0.682,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_5000x5000,5000,5000,40000,4,1,1,2000,iteration_limit,718697.9989021957,0.389702,0.577030,0.846,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_5000x5000,5000,5000,40000,8,1,1,2000,iteration_limit,718697.9989021957,0.349001,0.559986,0.945,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_5000x5000,5000,5000,40000,16,1,1,2000,iteration_limit,718697.9989021957,0.360261,0.592407,0.915,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_10000x10000,10000,10000,80000,1,0,0,2000,iteration_limit,1355467.0065877403,0.651853,0.841288,,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_10000x10000,10000,10000,80000,1,1,1,2000,iteration_limit,1355466.9962331124,0.676620,0.977118,1.000,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_10000x10000,10000,10000,80000,2,1,1,2000,iteration_limit,1355466.9962331124,0.696747,0.918598,0.971,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_10000x10000,10000,10000,80000,4,1,1,2000,iteration_limit,1355466.9962331124,0.518630,0.718505,1.305,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_10000x10000,10000,10000,80000,8,1,1,2000,iteration_limit,1355466.9962331124,0.562205,0.864873,1.204,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
kkt_10000x10000,10000,10000,80000,16,1,1,2000,iteration_limit,1355466.9962331124,0.530913,0.727049,1.274,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
refinery_year,779640,1208880,9968834,1,0,0,2000,iteration_limit,-38289181.40207867,91.743240,102.314329,,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
refinery_year,779640,1208880,9968834,1,1,1,2000,iteration_limit,-38289181.31731721,82.422164,94.087483,1.000,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
refinery_year,779640,1208880,9968834,2,1,1,2000,iteration_limit,-38289181.31731721,49.096198,60.907807,1.679,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
refinery_year,779640,1208880,9968834,4,1,1,2000,iteration_limit,-38289181.31731721,32.963754,43.754693,2.500,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
refinery_year,779640,1208880,9968834,8,1,1,2000,iteration_limit,-38289181.31731721,28.346270,38.886041,2.908,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
refinery_year,779640,1208880,9968834,16,1,1,2000,iteration_limit,-38289181.31731721,23.878677,34.464430,3.452,58a8374,Linux-x86_64,2026-09-25T11:40:12+00:00
