instance,rows,cols,nnz,threads,parallel_spmv,iterations,status,objective,solver_seconds,wall_seconds,speedup_vs_one_thread,git_commit,machine,timestamp_utc
kkt_1000x1000,1000,1000,5000,1,0,2000,iteration_limit,84139.99998321479,0.053603,0.092817,,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_1000x1000,1000,1000,5000,1,1,2000,iteration_limit,84139.99998321479,0.064234,0.085832,1.000,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_1000x1000,1000,1000,5000,2,1,2000,iteration_limit,84139.99998321479,0.162388,0.181994,0.396,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_1000x1000,1000,1000,5000,4,1,2000,iteration_limit,84139.99998321479,0.272379,0.293759,0.236,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_1000x1000,1000,1000,5000,8,1,2000,iteration_limit,84139.99998321479,0.412874,0.436436,0.156,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_2000x2000,2000,2000,10000,1,0,2000,iteration_limit,184420.0085526176,0.117361,0.147919,,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_2000x2000,2000,2000,10000,1,1,2000,iteration_limit,184420.0085526176,0.121473,0.153694,1.000,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_2000x2000,2000,2000,10000,2,1,2000,iteration_limit,184420.0085526176,0.191907,0.216661,0.633,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_2000x2000,2000,2000,10000,4,1,2000,iteration_limit,184420.0085526176,0.297878,0.322728,0.408,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_2000x2000,2000,2000,10000,8,1,2000,iteration_limit,184420.0085526176,0.483763,0.509103,0.251,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_5000x5000,5000,5000,40000,1,0,2000,iteration_limit,718698.0032310564,0.366648,0.420129,,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_5000x5000,5000,5000,40000,1,1,2000,iteration_limit,718698.0032310564,0.414198,0.457445,1.000,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_5000x5000,5000,5000,40000,2,1,2000,iteration_limit,718698.0032310564,0.507520,0.548261,0.816,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_5000x5000,5000,5000,40000,4,1,2000,iteration_limit,718698.0032310564,0.508976,0.554518,0.814,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_5000x5000,5000,5000,40000,8,1,2000,iteration_limit,718698.0032310564,0.703484,0.750848,0.589,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_10000x10000,10000,10000,80000,1,0,2000,iteration_limit,1355467.0065877403,0.796449,0.879252,,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_10000x10000,10000,10000,80000,1,1,2000,iteration_limit,1355467.0065877403,0.972830,1.046529,1.000,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_10000x10000,10000,10000,80000,2,1,2000,iteration_limit,1355467.0065877403,0.970377,1.040105,1.003,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_10000x10000,10000,10000,80000,4,1,2000,iteration_limit,1355467.0065877403,0.917906,0.995481,1.060,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
kkt_10000x10000,10000,10000,80000,8,1,2000,iteration_limit,1355467.0065877403,1.025914,1.122693,0.948,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
refinery_year,779640,0,0,1,0,2000,iteration_limit,-38289181.40207867,112.058802,125.137568,,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
refinery_year,779640,0,0,1,1,2000,iteration_limit,-38289181.40207867,102.911972,117.849481,1.000,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
refinery_year,779640,0,0,2,1,2000,iteration_limit,-38289181.40207867,85.705457,98.434476,1.201,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
refinery_year,779640,0,0,4,1,2000,iteration_limit,-38289181.40207867,81.997488,94.628637,1.255,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
refinery_year,779640,0,0,8,1,2000,iteration_limit,-38289181.40207867,88.360507,100.731332,1.165,5daee10,Windows-AMD64,2026-09-23T23:09:38+00:00
