instance,rows,cols,nnz,threads,parallel_spmv,parallel_updates,iterations,status,objective,solver_seconds,wall_seconds,speedup_vs_one_thread,git_commit,machine,timestamp_utc
kkt_1000x1000,1000,1000,5000,1,1,0,2000,iteration_limit,84139.99998321479,0.052783,0.283837,1.000,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_1000x1000,1000,1000,5000,2,1,0,2000,iteration_limit,84139.99998321479,0.115372,0.294165,0.458,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_1000x1000,1000,1000,5000,4,1,0,2000,iteration_limit,84139.99998321479,0.118365,0.299047,0.446,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_1000x1000,1000,1000,5000,8,1,0,2000,iteration_limit,84139.99998321479,0.129326,0.315362,0.408,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_1000x1000,1000,1000,5000,16,1,0,2000,iteration_limit,84139.99998321479,0.162573,0.372569,0.325,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_2000x2000,2000,2000,10000,1,1,0,2000,iteration_limit,184420.0085526176,0.100676,0.261222,1.000,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_2000x2000,2000,2000,10000,2,1,0,2000,iteration_limit,184420.0085526176,0.206665,0.435612,0.487,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_2000x2000,2000,2000,10000,4,1,0,2000,iteration_limit,184420.0085526176,0.247554,0.427537,0.407,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_2000x2000,2000,2000,10000,8,1,0,2000,iteration_limit,184420.0085526176,0.218306,0.394011,0.461,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_2000x2000,2000,2000,10000,16,1,0,2000,iteration_limit,184420.0085526176,0.222949,0.482091,0.452,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_5000x5000,5000,5000,40000,1,1,0,2000,iteration_limit,718698.0032310564,0.331442,0.515013,1.000,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_5000x5000,5000,5000,40000,2,1,0,2000,iteration_limit,718698.0032310564,0.715312,0.926307,0.463,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_5000x5000,5000,5000,40000,4,1,0,2000,iteration_limit,718698.0032310564,0.451705,0.651892,0.734,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_5000x5000,5000,5000,40000,8,1,0,2000,iteration_limit,718698.0032310564,0.462981,0.656939,0.716,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_5000x5000,5000,5000,40000,16,1,0,2000,iteration_limit,718698.0032310564,0.526823,0.733571,0.629,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_10000x10000,10000,10000,80000,1,1,0,2000,iteration_limit,1355467.0065877403,0.689703,0.893698,1.000,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_10000x10000,10000,10000,80000,2,1,0,2000,iteration_limit,1355467.0065877403,0.994306,1.209553,0.694,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_10000x10000,10000,10000,80000,4,1,0,2000,iteration_limit,1355467.0065877403,0.881970,1.095624,0.782,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_10000x10000,10000,10000,80000,8,1,0,2000,iteration_limit,1355467.0065877403,1.220787,1.438878,0.565,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
kkt_10000x10000,10000,10000,80000,16,1,0,2000,iteration_limit,1355467.0065877403,1.063083,1.346616,0.649,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
refinery_year,779640,1208880,9968834,1,1,0,2000,iteration_limit,-38289181.40207867,84.980243,95.431979,1.000,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
refinery_year,779640,1208880,9968834,2,1,0,2000,iteration_limit,-38289181.40207867,69.399992,80.404296,1.224,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
refinery_year,779640,1208880,9968834,4,1,0,2000,iteration_limit,-38289181.40207867,55.459388,66.078198,1.532,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
refinery_year,779640,1208880,9968834,8,1,0,2000,iteration_limit,-38289181.40207867,56.423672,67.203882,1.506,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
refinery_year,779640,1208880,9968834,16,1,0,2000,iteration_limit,-38289181.40207867,54.821090,65.464470,1.550,58a8374,Linux-x86_64,2026-09-25T11:49:20+00:00
