instance,instance_sha256,rows,cols,nnz,engine,two_matvec,iterations_requested,iterations,status,objective,reference_objective,absolute_gap,relative_gap,solver_seconds,wall_seconds,short_iterations,short_solver_seconds,seconds_per_iteration,ratio_to_three_products,repeats,algorithm_ran,solver_options,git_commit,machine,gpu,timestamp_utc
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,cpu,false,10000,1280,optimal,-464.7531428571431,-464.75314286,2.856950231944211e-09,6.147242414248342e-12,0.0014,0.114967,1280,0.001405,,,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,cpu,true,10000,1360,optimal,-464.75314285714273,-464.75314286,2.8572912924573757e-09,6.147976267302171e-12,0.001358,0.254981,1360,0.00173,,,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,cuda,false,10000,1240,optimal,-464.7531428571419,-464.75314286,2.858143943740288e-09,6.149810899936746e-12,0.191768,0.494341,1240,0.172012,,,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
afiro,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,27,32,83,cuda,true,10000,1240,optimal,-464.75314285714535,-464.75314286,2.8546764951897785e-09,6.142350060556142e-12,0.176211,0.385505,1240,0.167998,,,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,cpu,false,10000,10000,iteration_limit,-64.57505686109766,-64.575077059,2.0197902330210127e-05,3.127816992267157e-07,0.013974,0.194518,2000,0.002928,1.380767e-06,1.0000,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,cpu,true,10000,10000,iteration_limit,-64.57509795985113,-64.575077059,2.090085114048179e-05,3.2366745952754205e-07,0.011368,0.13069,2000,0.002427,1.115744e-06,0.8081,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,cuda,false,10000,10000,iteration_limit,-64.57508080694008,-64.575077059,3.7479400845086275e-06,5.804004044910803e-08,0.608654,0.842304,2000,0.207419,5.028114e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,cuda,true,10000,10000,iteration_limit,-64.57507703192671,-64.575077059,2.7073284059042635e-08,4.192528339425243e-10,0.513685,0.81318,2000,0.194231,4.009253e-05,0.7974,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,cpu,false,10000,10000,iteration_limit,-70.00000220792563,-70.0,2.2079256325469032e-06,3.1541794750670045e-08,0.013661,0.136471,2000,0.002881,1.348753e-06,1.0000,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,cpu,true,10000,10000,iteration_limit,-69.99999980625833,-70.0,1.9374166981833696e-07,2.7677381402619567e-09,0.01139,0.178592,2000,0.002463,1.115768e-06,0.8273,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
