week,column,cost_factor,cold_status,warm_status,cold_objective,warm_objective,answers_agree,cold_iterations,warm_iterations,cold_seconds,warm_seconds,git_commit,machine,instance_sha256
1,BUY_0_0,0.964767,optimal,optimal,-242014.9915,-242014.9915,True,26293,26293,19.869338,19.196840,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
2,BUY_0_1,0.930170,optimal,optimal,-242014.9915,-242014.9915,True,34586,2575,22.839812,2.285086,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
3,BUY_0_2,1.030187,optimal,optimal,-242035.7013,-242035.7013,True,22727,3769,18.880776,2.960085,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
4,BUY_0_3,0.914487,optimal,optimal,-242147.7096,-242147.7096,True,28762,2828,18.952275,2.255950,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
5,BUY_0_4,1.007176,optimal,optimal,-242150.0017,-242150.0017,True,26432,3279,17.546885,2.341709,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
6,BUY_0_5,0.973138,optimal,optimal,-242159.0591,-242159.0591,True,26929,5532,17.270741,4.048303,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
7,BUY_0_6,0.911600,optimal,optimal,-242159.0591,-242159.0591,True,27413,3097,15.918228,2.389097,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
8,BUY_0_7,1.001487,optimal,optimal,-242159.3119,-242159.3119,True,23903,4310,17.378138,3.370485,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
9,BUY_0_8,0.907499,optimal,optimal,-242159.3119,-242159.3119,True,22295,7005,13.983384,3.880332,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
10,BUY_0_9,0.986729,optimal,optimal,-242159.3119,-242159.3119,True,27493,2799,17.370310,2.458247,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
11,BUY_0_10,0.913971,optimal,optimal,-242240.4586,-242240.4586,True,30309,3432,18.579229,2.574374,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
12,BUY_0_11,0.918143,optimal,optimal,-242240.4586,-242240.4586,True,25486,3015,15.589775,2.031729,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
13,BUY_0_12,0.984904,optimal,optimal,-242240.4586,-242240.4586,True,26150,3069,12.601036,2.182449,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
14,BUY_0_13,1.065370,optimal,optimal,-242240.4586,-242240.4586,True,26548,4546,17.008536,3.231494,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
15,BUY_0_14,0.924760,optimal,optimal,-242327.6443,-242327.6443,True,30275,3758,17.535239,2.662789,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
16,BUY_0_15,0.944648,optimal,optimal,-242327.6443,-242327.6443,True,25135,2749,17.837636,1.923778,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
17,BUY_0_16,1.025487,optimal,optimal,-242345.3027,-242345.3027,True,26272,2917,19.206645,2.022832,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
18,BUY_0_17,1.089542,optimal,optimal,-242345.3027,-242345.3027,True,26688,3027,16.730541,2.228205,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
19,BUY_0_18,1.015421,optimal,optimal,-242345.3027,-242345.3027,True,27891,0,16.299293,0.031743,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
20,BUY_0_19,0.979336,optimal,optimal,-242347.8964,-242347.8964,True,23618,3238,17.024231,2.356237,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
21,BUY_0_20,1.095251,optimal,optimal,-242347.8964,-242347.8964,True,26398,0,16.585496,0.059559,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
22,BUY_0_21,0.909317,optimal,optimal,-242442.1367,-242442.1367,True,25652,4871,15.499488,3.215140,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
23,BUY_0_22,1.071694,optimal,optimal,-242442.1367,-242442.1367,True,25968,0,16.378707,0.057311,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
24,BUY_0_23,0.957922,optimal,optimal,-242442.1367,-242442.1367,True,24459,2966,14.913422,2.129419,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
25,BUY_0_24,0.928851,optimal,optimal,-242442.1367,-242442.1367,True,22566,2273,14.712464,1.696434,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
26,BUY_0_25,0.923558,optimal,optimal,-242442.1367,-242442.1367,True,22280,2363,15.192451,1.584195,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
27,BUY_0_26,0.961696,optimal,optimal,-242482.3713,-242482.3713,True,26808,2504,16.388183,1.760032,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
28,BUY_0_27,1.063225,optimal,optimal,-242482.3713,-242482.3713,True,29786,2131,17.668204,1.754577,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
29,BUY_0_28,0.936145,optimal,optimal,-242482.3713,-242482.3713,True,29814,2683,19.746938,1.964827,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
30,BUY_0_29,1.016320,optimal,optimal,-242497.1471,-242497.1471,True,25893,3638,17.975475,3.133183,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
31,BUY_0_30,1.027783,optimal,optimal,-242497.1471,-242497.1471,True,25418,2468,17.659666,2.356068,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
32,BUY_0_31,0.974480,optimal,optimal,-242497.1471,-242497.1471,True,27542,2845,18.278242,1.842202,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
33,BUY_0_32,1.009549,optimal,optimal,-242497.1471,-242497.1471,True,26373,2099,19.811591,1.562414,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
34,BUY_0_33,0.912558,optimal,optimal,-242497.1471,-242497.1471,True,24559,2329,16.500758,1.825516,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
35,BUY_0_34,0.911920,optimal,optimal,-242497.1471,-242497.1471,True,25410,3661,16.505540,2.624095,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
36,BUY_0_35,0.941192,optimal,optimal,-242533.5106,-242533.5106,True,23927,3242,15.434655,2.570711,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
37,BUY_0_36,1.036080,optimal,optimal,-242533.5106,-242533.5106,True,24543,1,17.214251,0.053849,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
38,BUY_0_37,0.985518,optimal,optimal,-242533.5106,-242533.5106,True,24395,3110,16.127962,2.322105,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
39,BUY_0_38,0.962829,optimal,optimal,-242533.5106,-242533.5106,True,25030,1732,17.161463,1.247767,add4bdc,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
