week,column,cost_factor,cold_status,warm_status,cold_objective,warm_objective,answers_agree,cold_iterations,warm_iterations,cold_seconds,warm_seconds,git_commit,machine,instance_sha256
1,BUY_0_0,0.964767,optimal,optimal,-242014.9915,-242014.9915,True,26293,26293,11.443205,11.052149,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
2,BUY_0_1,0.930170,optimal,optimal,-242014.9915,-242014.9915,True,34586,2575,11.074806,1.036005,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
3,BUY_0_2,1.030187,optimal,optimal,-242035.7013,-242035.7013,True,22727,3769,9.500046,2.200184,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
4,BUY_0_3,0.914487,optimal,optimal,-242147.7096,-242147.7096,True,28762,2828,11.835507,2.703481,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
5,BUY_0_4,1.007176,optimal,optimal,-242150.0017,-242150.0017,True,26432,3279,8.720036,0.997888,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
6,BUY_0_5,0.973138,optimal,optimal,-242159.0591,-242159.0591,True,26929,5532,7.616010,1.905673,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
7,BUY_0_6,0.911600,optimal,optimal,-242159.0591,-242159.0591,True,27413,3097,7.195519,1.076915,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
8,BUY_0_7,1.001487,optimal,optimal,-242159.3119,-242159.3119,True,23903,4310,7.038168,1.532069,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
9,BUY_0_8,0.907499,optimal,optimal,-242159.3119,-242159.3119,True,22295,7005,6.193943,1.890569,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
10,BUY_0_9,0.986729,optimal,optimal,-242159.3119,-242159.3119,True,27493,2799,7.780549,0.986859,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
11,BUY_0_10,0.913971,optimal,optimal,-242240.4586,-242240.4586,True,30309,3432,8.255752,1.152091,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
12,BUY_0_11,0.918143,optimal,optimal,-242240.4586,-242240.4586,True,25486,3015,7.300929,0.935727,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
13,BUY_0_12,0.984904,optimal,optimal,-242240.4586,-242240.4586,True,26150,3069,7.488774,0.978638,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
14,BUY_0_13,1.065370,optimal,optimal,-242240.4586,-242240.4586,True,26548,4546,7.093857,1.449799,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
15,BUY_0_14,0.924760,optimal,optimal,-242327.6443,-242327.6443,True,30275,3758,8.103955,1.112015,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
16,BUY_0_15,0.944648,optimal,optimal,-242327.6443,-242327.6443,True,25135,2749,7.687604,0.866972,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
17,BUY_0_16,1.025487,optimal,optimal,-242345.3027,-242345.3027,True,26272,2917,7.485078,0.874244,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
18,BUY_0_17,1.089542,optimal,optimal,-242345.3027,-242345.3027,True,26688,3027,7.702027,0.996059,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
19,BUY_0_18,1.015421,optimal,optimal,-242345.3027,-242345.3027,True,27891,0,8.502805,0.018979,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
20,BUY_0_19,0.979336,optimal,optimal,-242347.8964,-242347.8964,True,23618,3238,13.141424,1.103606,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
21,BUY_0_20,1.095251,optimal,optimal,-242347.8964,-242347.8964,True,26398,0,11.869093,0.019693,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
22,BUY_0_21,0.909317,optimal,optimal,-242442.1367,-242442.1367,True,25652,4871,11.521052,1.448303,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
23,BUY_0_22,1.071694,optimal,optimal,-242442.1367,-242442.1367,True,25968,0,11.034032,0.098327,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
24,BUY_0_23,0.957922,optimal,optimal,-242442.1367,-242442.1367,True,24459,2966,7.556836,1.110441,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
25,BUY_0_24,0.928851,optimal,optimal,-242442.1367,-242442.1367,True,22566,2273,9.924376,0.756692,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
26,BUY_0_25,0.923558,optimal,optimal,-242442.1367,-242442.1367,True,22280,2363,6.914733,0.768856,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
27,BUY_0_26,0.961696,optimal,optimal,-242482.3713,-242482.3713,True,26808,2504,7.066931,0.843553,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
28,BUY_0_27,1.063225,optimal,optimal,-242482.3713,-242482.3713,True,29786,2131,8.383828,0.694350,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
29,BUY_0_28,0.936145,optimal,optimal,-242482.3713,-242482.3713,True,29814,2683,8.526272,0.965945,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
30,BUY_0_29,1.016320,optimal,optimal,-242497.1471,-242497.1471,True,25893,3638,8.470321,2.411409,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
31,BUY_0_30,1.027783,optimal,optimal,-242497.1471,-242497.1471,True,25418,2468,11.178078,1.104445,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
32,BUY_0_31,0.974480,optimal,optimal,-242497.1471,-242497.1471,True,27542,2845,9.609898,1.194647,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
33,BUY_0_32,1.009549,optimal,optimal,-242497.1471,-242497.1471,True,26373,2099,9.565283,0.620606,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
34,BUY_0_33,0.912558,optimal,optimal,-242497.1471,-242497.1471,True,24559,2329,6.506172,0.765889,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
35,BUY_0_34,0.911920,optimal,optimal,-242497.1471,-242497.1471,True,25410,3661,7.072468,1.104622,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
36,BUY_0_35,0.941192,optimal,optimal,-242533.5106,-242533.5106,True,23927,3242,6.291621,1.024598,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
37,BUY_0_36,1.036080,optimal,optimal,-242533.5106,-242533.5106,True,24543,1,7.138222,0.025709,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
38,BUY_0_37,0.985518,optimal,optimal,-242533.5106,-242533.5106,True,24395,3110,6.804381,0.869065,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
39,BUY_0_38,0.962829,optimal,optimal,-242533.5106,-242533.5106,True,25030,1732,7.191556,0.829446,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
40,BUY_0_39,1.017112,optimal,optimal,-242548.4197,-242548.4197,True,24681,2461,7.035841,1.458449,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
41,BUY_0_40,0.990637,optimal,optimal,-242548.4197,-242548.4197,True,24614,2125,7.608519,0.804243,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
42,BUY_0_41,0.959953,optimal,optimal,-242548.4197,-242548.4197,True,23705,0,10.407422,0.019000,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
43,BUY_0_42,1.058876,optimal,optimal,-242597.0687,-242597.0687,True,27398,2430,8.647599,0.955498,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
44,BUY_0_43,1.039799,optimal,optimal,-242605.574,-242605.574,True,23932,3364,9.126481,1.177604,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
45,BUY_0_44,0.948819,optimal,optimal,-242605.574,-242605.574,True,23668,2085,9.552051,0.903814,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
46,BUY_0_45,1.014885,optimal,optimal,-242605.574,-242605.574,True,27737,0,9.639201,0.022420,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
47,BUY_0_46,1.005039,optimal,optimal,-242605.574,-242605.574,True,24144,2562,7.894314,0.823308,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
48,BUY_0_47,1.075027,optimal,optimal,-242694.6309,-242694.6309,True,22988,3660,6.940608,1.178266,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
49,BUY_0_48,1.045889,optimal,optimal,-242694.6309,-242694.6309,True,24419,1955,8.573217,0.624204,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
50,BUY_0_49,0.957588,optimal,optimal,-242700.26,-242700.26,True,23633,2079,6.638701,0.638221,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
51,BUY_0_50,1.096035,optimal,optimal,-242700.26,-242700.26,True,25870,3814,7.458647,1.061603,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
52,BUY_0_51,0.923613,optimal,optimal,-242700.26,-242700.26,True,26081,0,7.219111,0.020048,c8b9437,Windows-AMD64,415a0120008943ce972a983f633e451515bd89519162457754d13a2df05ceb28
