problem,reference_objective,sense,variables,constraints,source,mod_sha256,nl_sha256
hs001,-0.0,minimize,2,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs001.mod,b99d24de0f20e3234a562f554073d8991cf2c52aacc5d12268ce6cefaa6a2581,1093a7f374fa92f0d6f2e7a8fddcd2fceb3c52e26a533625c4e6621333fe6a87
hs002,0.0504261879,minimize,2,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs002.mod,93d3b71ac0acb9580a1a6e7b64930b47505b8bfb0a17f82778abead258342a8e,e28343b01a998dea481039807f62f15f4ce268103b1226bc86deefbe87c03ae8
hs003,-0.0,minimize,2,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs003.mod,174a8e6cd310bbca46f0d9be1875a2e2d09ed03633e0794b60ad3fdd30adba17,645a82c232e040caacea90e2b543bef6af70ab6a24f5ec94d3dd3e15cf791375
hs004,2.6666666666666665,minimize,2,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs004.mod,708b6597a828000ed543b3b340e95cb0511eb3edc1428b5c3f400152a4813829,04dfbcfccc416edff565a3b2f88ccca100ad81c3fa91520110db572e132cea30
hs005,-1.9132220704511052,minimize,2,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs005.mod,797d479aba485c763031b49c6952dfeb9b48bdb11f7b55ba3f6f79678cd8f819,53d9f87ca075a1ba7b781b89b2f77c8af803979bec53f103510d855f9f4f717e
hs006,-0.0,minimize,2,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs006.mod,84cac10daab5451bb8a69e71dfacbe188a72798d56a2ea0d28498e7293170e08,4d25d765e8e545c5a78c0a0b195458144a990879e4a14d29bd84d974ca38f0e8
hs007,-1.7320508075688772,minimize,2,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs007.mod,36d637a419807fc23bc1bda9bc37102d6852611db329f380760e643cc8bbb190,383c28e868559f20045f6cac387451b005a4a7c5cd39ffcbab52c144f3b3a37a
hs008,-1.0,minimize,2,2,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs008.mod,33f71f4ccd793e1a73ba67e6ea61c3ac5d9ebda7090bf14cbc70a907718c1584,ee54c1ffd4c8478224d56342d29c50334b172cef0c23bcbee6fca621c9432a1e
hs010,-1.0,minimize,2,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs010.mod,de3d55cbf39fdf2fb67d94b050124c0694e936a20cae8c31df29171969c06893,4106b1e6cd98bdb50a9b6075a2b6618ce7cf12a05a28677800dff2ea6381a63d
hs011,-8.498464223,minimize,2,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs011.mod,0daef4a96cfd8f1d3cc6dd091ee975f03bd7fa4ccc8061efc0a79a86671c7700,d607940065f87b8d12c518c6a8abc8c783020dd9a27ecf299b6dbbbd8afc2305
hs012,-30.0,minimize,2,1,https://vanderbei.princeton.edu/ampl/nlmodels/cute/hs012.mod,c5f4dba31b189b047a727ca3c8e2ec0a18af5ba6319318d324bf1fd3a2043b45,9c23d70ba2647155b581fb865d5944cd382c63c33357686de7c44bd5f580a657
